ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;0;0;79;289;0;0;0;0;0;2;0;2;2022-04-30-20:26:59;1,65135E+15
2;2;1;105;345;0;0;0;0;0;3;1;3;2022-04-30-20:27:0;16513504200
3;6;0;95;352;0;0;0;0;0;1;0;2;2022-04-30-20:27:1;1,65135E+15
4;1;0;101;310;0;0;0;0;1;8;1;11;2022-04-30-20:27:2;1,65135E+15
5;1;0;87;308;0;0;36;2;0;1;0;2;2022-04-30-20:27:3;1,65135E+15
6;0;0;74;283;0;0;0;0;0;1;0;2;2022-04-30-20:27:4;1,65135E+15
7;0;0;82;274;0;0;44;11;0;2;0;2;2022-04-30-20:27:5;1,65135E+15
8;0;0;73;278;0;0;0;0;0;1;0;2;2022-04-30-20:27:6;1,65135E+15
9;1;1;81;286;0;0;0;0;0;1;0;2;2022-04-30-20:27:7;1,65135E+15
10;0;0;79;294;0;0;12;2;0;2;0;2;2022-04-30-20:27:8;1,65135E+15
11;1;0;83;289;0;0;0;0;0;1;0;2;2022-04-30-20:27:9;1,65135E+15
12;0;0;69;276;0;0;0;0;0;1;0;2;2022-04-30-20:27:10;1,65135E+14
13;0;0;80;294;0;0;0;0;0;2;0;2;2022-04-30-20:27:11;1,65135E+15
14;0;0;70;272;0;0;0;0;0;1;0;2;2022-04-30-20:27:12;1,65135E+15
15;1;0;83;294;0;0;12;2;0;1;0;2;2022-04-30-20:27:13;1,65135E+15
16;1;0;70;279;0;0;0;0;0;2;0;2;2022-04-30-20:27:14;1,65135E+15
17;0;0;84;292;0;0;0;0;0;1;0;2;2022-04-30-20:27:15;1,65135E+15
18;0;0;68;278;0;0;0;0;0;1;0;2;2022-04-30-20:27:16;1,65135E+15
19;0;0;71;281;0;0;0;0;0;2;0;2;2022-04-30-20:27:17;1,65135E+15
20;0;0;71;283;0;0;12;2;0;1;0;2;2022-04-30-20:27:18;1,65135E+15
21;1;0;81;291;0;0;0;0;0;1;0;2;2022-04-30-20:27:19;1,65135E+15
22;0;0;77;288;0;0;4;1;0;2;0;2;2022-04-30-20:27:20;1,65135E+14
23;1;0;76;276;0;0;0;0;0;1;0;2;2022-04-30-20:27:21;1,65135E+15
