ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;4;2;1870;3283;0;0;0;0;0;1;0;1;2022-04-30-3:31:34;1,65129E+15
2;6;4;2508;4667;72;2;520;85;0;1;0;1;2022-04-30-3:31:35;1,65129E+15
3;5;3;2562;4723;16;4;192;7;0;5;0;4;2022-04-30-3:31:36;1,65129E+15
4;5;2;2431;4425;20;5;0;0;2;12;1;8;2022-04-30-3:31:37;1,65129E+15
5;9;5;3072;6209;56;14;288;26;1;4;2;6;2022-04-30-3:31:38;1,65129E+15
6;5;3;1912;3531;12;3;0;0;0;2;0;1;2022-04-30-3:31:39;1,65129E+15
7;4;2;2055;3684;0;0;430;10;0;1;0;2;2022-04-30-3:31:40;1,65129E+14
8;5;3;2416;4236;20;5;32;5;0;1;0;1;2022-04-30-3:31:41;1,65129E+15
9;4;1;2096;3655;8;2;0;0;0;2;0;1;2022-04-30-3:31:42;1,65129E+15
10;3;2;2209;4080;16;4;0;0;1;4;1;5;2022-04-30-3:31:43;1,65129E+15
11;9;4;2257;5542;4;1;72;13;0;1;0;1;2022-04-30-3:31:44;1,65129E+15
12;18;12;2735;5644;8;2;5199;710;0;1;0;1;2022-04-30-3:31:45;1,65129E+15
13;5;3;2612;4846;1510;38;152;6;0;1;0;1;2022-04-30-3:31:46;1,65129E+15
14;4;2;2238;4107;0;0;0;0;0;1;0;1;2022-04-30-3:31:47;1,65129E+15
15;3;2;2123;3843;0;0;0;0;0;2;0;1;2022-04-30-3:31:48;1,65129E+15
16;4;2;1937;3575;8;2;0;0;0;1;0;1;2022-04-30-3:31:49;1,65129E+15
17;6;3;2539;4882;8;2;488;17;0;1;0;1;2022-04-30-3:31:50;1,65129E+14
18;5;3;2275;4071;0;0;2206;81;0;2;0;1;2022-04-30-3:31:51;1,65129E+15
19;4;2;1988;3713;0;0;0;0;0;1;0;1;2022-04-30-3:31:52;1,65129E+15
20;4;2;1978;3692;0;0;0;0;0;3;0;3;2022-04-30-3:31:53;1,65129E+15
21;4;2;2099;3368;64;5;3852;150;0;2;0;1;2022-04-30-3:31:54;1,65129E+15
22;4;1;2196;3968;20;2;108;8;0;1;0;1;2022-04-30-3:31:55;1,65129E+15
23;5;3;2589;4913;8;1;180;6;0;1;0;1;2022-04-30-3:31:56;1,65129E+15
24;3;1;2177;3904;16;4;0;0;0;1;0;1;2022-04-30-3:31:57;1,65129E+15
25;3;1;2044;3558;4;1;0;0;0;1;0;1;2022-04-30-3:31:58;1,65129E+15
26;5;3;2305;4118;0;0;0;0;0;1;0;1;2022-04-30-3:31:59;1,65129E+15
27;7;2;2757;5063;8;2;2372;103;0;2;0;1;2022-04-30-3:32:0;16512895200
28;6;3;2322;4177;16;3;2432;98;0;1;0;1;2022-04-30-3:32:1;1,65129E+15
29;4;2;1990;3648;8;2;0;0;0;1;0;1;2022-04-30-3:32:2;1,65129E+15
30;4;1;2162;3735;4;1;0;0;0;4;0;3;2022-04-30-3:32:3;1,65129E+15
31;2;1;1794;3257;0;0;0;0;0;1;0;1;2022-04-30-3:32:4;1,65129E+15
32;5;3;2297;4087;4;1;112;11;0;1;0;1;2022-04-30-3:32:5;1,65129E+15
33;6;3;2570;4867;0;0;172;6;0;2;0;1;2022-04-30-3:32:6;1,65129E+15
34;7;3;2542;4449;16;4;1720;78;0;1;0;1;2022-04-30-3:32:7;1,65129E+15
35;4;2;2107;3872;28;7;0;0;1;4;1;5;2022-04-30-3:32:8;1,65129E+15
36;5;2;2267;3868;28;5;2430;79;0;2;0;1;2022-04-30-3:32:9;1,65129E+15
37;6;3;2623;4796;0;0;981;115;0;1;0;1;2022-04-30-3:32:10;1,65129E+14
38;3;2;2522;4591;8;2;0;0;0;1;0;1;2022-04-30-3:32:11;1,65129E+15
39;4;2;2318;4072;12;3;0;0;0;2;0;1;2022-04-30-3:32:12;1,65129E+15
40;3;1;2045;3851;8;2;0;0;0;1;0;1;2022-04-30-3:32:13;1,65129E+15
41;3;1;1844;3368;4;1;0;0;0;1;0;1;2022-04-30-3:32:14;1,65129E+15
42;4;3;2230;4167;0;0;260;8;0;2;0;1;2022-04-30-3:32:15;1,65129E+15
43;5;2;2708;4990;12;3;160;6;0;1;0;2;2022-04-30-3:32:16;1,65129E+15
44;4;2;2222;4081;8;2;0;0;0;3;0;3;2022-04-30-3:32:17;1,65129E+15
45;4;2;2045;3597;0;0;0;0;0;4;0;3;2022-04-30-3:32:18;1,65129E+15
46;3;1;2055;3679;16;4;0;0;0;1;0;1;2022-04-30-3:32:19;1,65129E+15
47;6;3;2478;4785;4;1;531;24;0;1;0;1;2022-04-30-3:32:20;1,65129E+14
48;7;2;2349;4214;28;7;0;0;0;2;0;1;2022-04-30-3:32:21;1,65129E+15
49;3;1;2083;3563;0;0;0;0;0;3;0;3;2022-04-30-3:32:22;1,65129E+15
50;7;4;3069;5836;8;2;244;20;0;1;0;1;2022-04-30-3:32:23;1,65129E+15
51;2;1;1912;3284;0;0;0;0;0;2;0;1;2022-04-30-3:32:24;1,65129E+15
52;4;2;2144;3765;832;47;92;5;0;1;0;1;2022-04-30-3:32:25;1,65129E+15
53;5;2;2689;4898;4;1;176;6;0;1;0;1;2022-04-30-3:32:26;1,65129E+15
54;4;2;2183;4038;4;1;0;0;0;2;0;1;2022-04-30-3:32:27;1,65129E+15
55;4;1;2179;3947;4;1;0;0;0;3;0;3;2022-04-30-3:32:28;1,65129E+15
56;3;1;2030;3643;0;0;0;0;0;1;0;1;2022-04-30-3:32:29;1,65129E+15
57;5;2;2159;3719;4;1;969;106;0;2;0;1;2022-04-30-3:32:30;1,65129E+14
58;3;1;2226;4154;4;1;0;0;0;1;0;1;2022-04-30-3:32:31;1,65129E+15
59;4;2;2170;3902;4;1;0;0;0;1;0;1;2022-04-30-3:32:32;1,65129E+15
60;4;2;2227;4120;48;9;0;0;1;5;1;5;2022-04-30-3:32:33;1,65129E+15
61;3;1;1787;3166;8;2;0;0;0;1;0;1;2022-04-30-3:32:34;1,65129E+15
62;3;1;2104;3733;60;11;136;4;0;1;0;1;2022-04-30-3:32:35;1,65129E+15
63;4;1;2397;4700;8;2;168;6;0;2;0;1;2022-04-30-3:32:36;1,65129E+15
64;4;2;2174;4077;4;1;0;0;0;1;0;1;2022-04-30-3:32:37;1,65129E+15
65;3;2;2167;4007;4;1;0;0;0;1;0;1;2022-04-30-3:32:38;1,65129E+15
66;4;2;2041;3806;4;1;0;0;0;2;0;1;2022-04-30-3:32:39;1,65129E+15
67;6;2;2686;5068;0;0;923;100;0;1;0;1;2022-04-30-3:32:40;1,65129E+14
68;4;2;2352;4253;12;3;32;5;0;1;0;1;2022-04-30-3:32:41;1,65129E+15
69;6;1;2204;3842;252;54;0;0;0;2;0;1;2022-04-30-3:32:42;1,65129E+15
70;3;1;1986;3668;0;0;0;0;0;3;0;3;2022-04-30-3:32:43;1,65129E+15
71;12;6;2379;13822;328;7;36;5;0;1;0;1;2022-04-30-3:32:44;1,65129E+15
72;9;6;2666;8986;12;3;260;9;0;2;0;1;2022-04-30-3:32:45;1,65129E+15
73;5;2;2635;4820;4;1;152;6;0;1;0;1;2022-04-30-3:32:46;1,65129E+15
74;3;1;2165;4020;4;1;0;0;0;1;0;1;2022-04-30-3:32:47;1,65129E+15
75;3;1;2054;3585;4;1;0;0;0;2;0;1;2022-04-30-3:32:48;1,65129E+15
76;3;1;2002;3608;4;1;0;0;0;1;0;1;2022-04-30-3:32:49;1,65129E+15
77;5;1;2434;4613;0;0;584;19;0;1;0;1;2022-04-30-3:32:50;1,65129E+14
78;4;2;2361;4329;32;6;961;45;0;2;0;1;2022-04-30-3:32:51;1,65129E+15
79;3;1;2021;3772;76;7;0;0;0;1;0;1;2022-04-30-3:32:52;1,65129E+15
80;3;1;2040;3658;8;2;0;0;0;3;0;3;2022-04-30-3:32:53;1,65129E+15
81;4;2;2222;3968;48;8;3428;128;0;2;0;1;2022-04-30-3:32:54;1,65129E+15
82;4;2;2035;3823;4;1;100;8;0;1;1;3;2022-04-30-3:32:55;1,65129E+15
83;6;3;2774;5379;160;27;571;96;0;1;0;1;2022-04-30-3:32:56;1,65129E+15
84;5;2;2042;3914;8;2;0;0;0;2;0;1;2022-04-30-3:32:57;1,65129E+15
85;3;1;2003;3492;20;5;0;0;1;4;1;5;2022-04-30-3:32:58;1,65129E+15
86;2;1;2012;3623;8;2;0;0;0;1;0;1;2022-04-30-3:32:59;1,65129E+15
87;7;3;2589;4822;24;5;1962;75;0;2;0;1;2022-04-30-3:33:0;16512895800
88;5;2;2320;4098;20;4;1724;65;0;1;0;1;2022-04-30-3:33:1;1,65129E+15
89;3;1;2016;3473;4;1;0;0;0;1;0;1;2022-04-30-3:33:2;1,65129E+15
90;4;2;2122;3783;0;0;0;0;0;2;0;1;2022-04-30-3:33:3;1,65129E+15
91;3;1;1815;3151;4;1;0;0;0;1;0;1;2022-04-30-3:33:4;1,65129E+15
92;3;1;2319;4105;8;2;80;3;0;1;0;1;2022-04-30-3:33:5;1,65129E+15
93;5;2;2708;5120;84;6;167;6;0;2;0;1;2022-04-30-3:33:6;1,65129E+15
94;5;2;2314;4142;8;2;884;56;0;1;0;1;2022-04-30-3:33:7;1,65129E+15
95;2;1;2180;3798;4;1;0;0;0;3;0;3;2022-04-30-3:33:8;1,65129E+15
96;5;2;2203;3845;36;6;1884;62;0;2;0;1;2022-04-30-3:33:9;1,65129E+15
97;6;2;2517;4709;0;0;661;32;0;1;0;1;2022-04-30-3:33:10;1,65129E+14
98;4;2;2290;4227;4;1;0;0;0;1;0;1;2022-04-30-3:33:11;1,65129E+15
99;5;2;2459;4394;0;0;0;0;0;2;0;1;2022-04-30-3:33:12;1,65129E+15
100;2;1;2070;3802;4;1;0;0;0;1;0;1;2022-04-30-3:33:13;1,65129E+15
101;4;2;1825;3255;0;0;0;0;0;1;0;1;2022-04-30-3:33:14;1,65129E+15
102;4;2;2206;4063;0;0;596;83;0;2;0;1;2022-04-30-3:33:15;1,65129E+15
103;4;2;2106;3956;0;0;0;0;0;1;0;1;2022-04-30-3:33:16;1,65129E+15
104;7;3;2799;5238;168;41;216;8;0;1;0;1;2022-04-30-3:33:17;1,65129E+15
105;4;2;2089;3872;0;0;0;0;0;4;0;3;2022-04-30-3:33:18;1,65129E+15
106;4;2;2033;3646;16;4;0;0;0;1;0;1;2022-04-30-3:33:19;1,65129E+15
107;6;2;2640;5058;0;0;673;25;0;1;0;1;2022-04-30-3:33:20;1,65129E+14
108;8;3;2401;4442;4;1;0;0;0;2;0;1;2022-04-30-3:33:21;1,65129E+15
109;3;1;1979;3646;4;1;0;0;0;1;0;1;2022-04-30-3:33:22;1,65129E+15
110;3;1;2176;4024;16;4;0;0;1;4;1;5;2022-04-30-3:33:23;1,65129E+15
111;4;2;2088;3494;8;2;0;0;0;3;0;2;2022-04-30-3:33:24;1,65129E+15
112;3;1;2163;4060;36;9;112;8;0;1;0;1;2022-04-30-3:33:25;1,65129E+15
113;4;2;1901;3369;4;1;0;0;0;1;0;1;2022-04-30-3:33:26;1,65129E+15
114;7;4;2892;5763;4;1;172;6;0;2;0;1;2022-04-30-3:33:27;1,65129E+15
115;3;1;2028;3563;8;2;0;0;0;1;0;1;2022-04-30-3:33:28;1,65129E+15
116;3;2;2054;3819;0;0;0;0;0;3;0;3;2022-04-30-3:33:29;1,65129E+15
117;7;3;2567;4865;4;1;592;21;0;2;0;1;2022-04-30-3:33:30;1,65129E+14
118;3;1;2159;4049;12;3;0;0;0;1;0;1;2022-04-30-3:33:31;1,65129E+15
119;4;3;2156;3933;0;0;0;0;0;1;0;1;2022-04-30-3:33:32;1,65129E+15
120;3;1;1995;3731;12;3;0;0;0;4;0;3;2022-04-30-3:33:33;1,65129E+15
121;3;2;1687;3199;0;0;0;0;0;1;0;1;2022-04-30-3:33:34;1,65129E+15
122;4;2;2098;4000;4;1;104;6;0;1;0;1;2022-04-30-3:33:35;1,65129E+15
123;4;2;1988;3533;124;7;0;0;1;10;1;7;2022-04-30-3:33:36;1,65129E+15
124;12;6;3997;8551;456;58;388;33;2;9;2;9;2022-04-30-3:33:37;1,65129E+15
125;4;2;2270;3894;28;7;0;0;0;1;0;1;2022-04-30-3:33:38;1,65129E+15
126;3;1;2132;3660;8;2;0;0;0;2;0;1;2022-04-30-3:33:39;1,65129E+15
127;5;2;2110;3593;0;0;565;20;0;1;0;1;2022-04-30-3:33:40;1,65129E+14
128;4;2;2449;4506;8;2;32;5;0;1;0;1;2022-04-30-3:33:41;1,65129E+15
129;4;2;2259;4022;0;0;0;0;0;2;0;1;2022-04-30-3:33:42;1,65129E+15
130;4;1;2192;3944;4;1;0;0;0;2;0;2;2022-04-30-3:33:43;1,65129E+15
131;19;11;2993;6663;0;0;36;5;0;1;0;1;2022-04-30-3:33:44;1,65129E+15
132;6;3;2260;4569;8;2;271;12;0;2;0;1;2022-04-30-3:33:45;1,65129E+15
133;3;1;1998;3487;4;1;0;0;0;1;0;1;2022-04-30-3:33:46;1,65129E+15
134;6;3;3216;6261;8;2;164;6;0;2;0;2;2022-04-30-3:33:47;1,65129E+15
135;3;1;2089;3688;20;5;0;0;1;5;1;5;2022-04-30-3:33:48;1,65129E+15
136;5;2;2093;3721;24;6;0;0;0;2;0;1;2022-04-30-3:33:49;1,65129E+15
137;5;2;2474;4817;0;0;675;87;0;2;0;1;2022-04-30-3:33:50;1,65129E+14
138;5;3;2381;4460;188;47;2464;93;0;3;0;1;2022-04-30-3:33:51;1,65129E+15
139;5;2;2247;4019;188;47;0;0;0;1;0;1;2022-04-30-3:33:52;1,65129E+15
140;3;1;2137;3893;8;2;0;0;0;1;0;1;2022-04-30-3:33:53;1,65129E+15
141;9;5;3049;5056;4;1;3852;154;0;2;0;1;2022-04-30-3:33:54;1,65129E+15
142;3;1;2153;3957;12;3;196;10;0;1;0;1;2022-04-30-3:33:55;1,65129E+15
143;4;2;1806;3242;8;2;0;0;0;1;0;1;2022-04-30-3:33:56;1,65129E+15
144;7;3;2973;5670;16;4;232;6;0;3;0;1;2022-04-30-3:33:57;1,65129E+15
145;3;2;2098;3644;0;0;0;0;0;4;0;3;2022-04-30-3:33:58;1,65129E+15
146;4;2;2071;3807;4;1;0;0;0;2;0;1;2022-04-30-3:33:59;1,65129E+15
147;5;2;2641;4891;20;5;2062;96;0;2;0;1;2022-04-30-3:34:0;16512896400
148;4;1;2338;4162;4;1;823;30;0;1;0;1;2022-04-30-3:34:1;1,65129E+15
149;4;2;2088;3556;12;3;1590;59;0;1;0;1;2022-04-30-3:34:2;1,65129E+15
150;3;1;2203;3829;12;3;0;0;0;2;0;1;2022-04-30-3:34:3;1,65129E+15
151;3;1;1948;3362;0;0;0;0;0;1;0;1;2022-04-30-3:34:4;1,65129E+15
152;3;1;2123;3951;4;1;80;3;0;1;0;1;2022-04-30-3:34:5;1,65129E+15
153;3;1;1967;3389;12;3;0;0;0;4;0;3;2022-04-30-3:34:6;1,65129E+15
154;8;5;3778;6792;1240;253;1828;80;0;1;0;1;2022-04-30-3:34:7;1,65129E+15
155;4;1;2180;3657;0;0;0;0;0;3;0;3;2022-04-30-3:34:8;1,65129E+15
156;5;2;2254;3977;12;3;2444;81;0;2;0;1;2022-04-30-3:34:9;1,65129E+15
157;5;2;2561;4903;0;0;589;40;0;1;0;1;2022-04-30-3:34:10;1,65129E+14
158;3;1;2344;4350;8;2;0;0;0;3;0;3;2022-04-30-3:34:11;1,65129E+15
159;5;3;2401;4274;4;1;0;0;0;2;0;1;2022-04-30-3:34:12;1,65129E+15
160;4;2;2258;3973;24;6;0;0;1;4;1;5;2022-04-30-3:34:13;1,65129E+15
161;2;1;1886;3340;0;0;0;0;0;2;0;1;2022-04-30-3:34:14;1,65129E+15
162;3;1;2176;4207;4;1;152;5;0;2;0;1;2022-04-30-3:34:15;1,65129E+15
163;3;1;1928;3406;12;3;0;0;0;1;0;1;2022-04-30-3:34:16;1,65129E+15
164;5;3;2911;5758;4;1;168;6;0;1;0;1;2022-04-30-3:34:17;1,65129E+15
165;2;1;2082;3611;0;0;0;0;0;2;0;1;2022-04-30-3:34:18;1,65129E+15
166;3;1;2108;3748;28;7;0;0;0;1;0;1;2022-04-30-3:34:19;1,65129E+15
167;6;3;2460;4699;0;0;755;29;0;1;0;1;2022-04-30-3:34:20;1,65129E+14
168;8;2;2335;4227;8;2;0;0;0;2;0;1;2022-04-30-3:34:21;1,65129E+15
169;3;2;1951;3442;0;0;0;0;0;1;0;1;2022-04-30-3:34:22;1,65129E+15
170;3;1;2158;3913;0;0;0;0;0;3;0;3;2022-04-30-3:34:23;1,65129E+15
171;3;2;1963;3484;12;3;0;0;0;2;0;1;2022-04-30-3:34:24;1,65129E+15
172;4;1;2141;3969;0;0;792;109;0;1;0;1;2022-04-30-3:34:25;1,65129E+15
173;2;1;1803;3257;8;2;0;0;0;1;0;1;2022-04-30-3:34:26;1,65129E+15
174;5;2;3280;6546;8;2;208;8;0;2;0;1;2022-04-30-3:34:27;1,65129E+15
175;3;1;1996;3462;0;0;0;0;0;1;0;1;2022-04-30-3:34:28;1,65129E+15
176;5;2;2351;4325;852;212;0;0;0;1;0;1;2022-04-30-3:34:29;1,65129E+15
177;5;3;2817;5392;4;1;508;24;0;2;0;1;2022-04-30-3:34:30;1,65129E+14
178;3;1;2364;4400;8;2;0;0;0;1;0;1;2022-04-30-3:34:31;1,65129E+15
179;4;2;2085;3823;4;1;0;0;0;1;0;1;2022-04-30-3:34:32;1,65129E+15
180;3;2;2193;3899;8;2;0;0;0;4;0;3;2022-04-30-3:34:33;1,65129E+15
181;2;1;1785;3233;0;0;0;0;0;1;0;1;2022-04-30-3:34:34;1,65129E+15
182;3;1;2205;4088;12;3;472;78;0;1;0;1;2022-04-30-3:34:35;1,65129E+15
183;3;1;2012;3444;0;0;0;0;0;2;0;1;2022-04-30-3:34:36;1,65129E+15
184;7;3;2950;5627;452;35;212;6;0;1;0;1;2022-04-30-3:34:37;1,65129E+15
185;4;2;2188;3882;36;9;0;0;1;4;1;5;2022-04-30-3:34:38;1,65129E+15
186;5;3;2751;4949;4;1;0;0;0;2;0;1;2022-04-30-3:34:39;1,65129E+15
187;4;1;2629;4918;4;1;492;19;0;1;0;1;2022-04-30-3:34:40;1,65129E+14
188;4;2;2430;4495;12;3;32;5;0;1;0;1;2022-04-30-3:34:41;1,65129E+15
189;2;1;2080;3630;4;1;0;0;0;2;0;1;2022-04-30-3:34:42;1,65129E+15
190;5;2;2171;4082;8;2;0;0;0;1;0;1;2022-04-30-3:34:43;1,65129E+15
191;17;8;2619;8506;16;4;36;5;0;1;0;1;2022-04-30-3:34:44;1,65129E+15
192;3;2;2208;3985;4;1;244;9;0;2;0;1;2022-04-30-3:34:45;1,65129E+15
193;3;2;1871;3237;20;5;0;0;0;1;0;1;2022-04-30-3:34:46;1,65129E+15
194;5;2;2899;5650;0;0;160;6;0;1;0;1;2022-04-30-3:34:47;1,65129E+15
195;2;0;2036;3562;0;0;0;0;0;4;0;3;2022-04-30-3:34:48;1,65129E+15
196;2;0;2015;3629;4;1;0;0;0;1;0;1;2022-04-30-3:34:49;1,65129E+15
197;5;2;2326;4454;0;0;512;19;0;1;0;1;2022-04-30-3:34:50;1,65129E+14
198;3;1;2325;4339;8;2;928;45;0;2;0;1;2022-04-30-3:34:51;1,65129E+15
199;3;1;1989;3635;8;2;0;0;0;1;0;1;2022-04-30-3:34:52;1,65129E+15
200;3;2;2042;3725;12;3;0;0;0;1;0;1;2022-04-30-3:34:53;1,65129E+15
201;4;2;1991;3470;0;0;3287;114;0;3;0;1;2022-04-30-3:34:54;1,65129E+15
