ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;4;1;2255;3981;16;4;1634;62;0;1;0;1;2022-04-30-20:26:58;1,65135E+15
2;6;3;2608;4740;76;3;0;0;0;2;0;1;2022-04-30-20:26:59;1,65135E+15
3;11;6;3047;5511;2100;523;602;20;0;1;0;1;2022-04-30-20:27:0;16513504200
4;4;2;2234;3884;68;17;0;0;1;10;1;8;2022-04-30-20:27:1;1,65135E+15
5;10;4;3672;7502;532;103;356;32;2;11;2;10;2022-04-30-20:27:2;1,65135E+15
6;2;1;2079;3664;12;3;0;0;0;1;0;1;2022-04-30-20:27:3;1,65135E+15
7;3;2;1855;3207;12;3;0;0;0;1;0;1;2022-04-30-20:27:4;1,65135E+15
8;5;3;2405;4222;0;0;1748;85;0;2;0;1;2022-04-30-20:27:5;1,65135E+15
9;4;2;2165;3575;60;15;2448;90;1;4;1;5;2022-04-30-20:27:6;1,65135E+15
10;5;2;2659;4962;8;2;0;0;0;1;0;1;2022-04-30-20:27:7;1,65135E+15
11;4;2;2148;3908;12;3;0;0;0;2;0;1;2022-04-30-20:27:8;1,65135E+15
12;4;2;2067;3750;4;1;28;5;0;1;0;1;2022-04-30-20:27:9;1,65135E+15
13;5;1;2032;3594;12;3;548;12;0;1;0;1;2022-04-30-20:27:10;1,65135E+14
14;4;2;2248;4135;24;6;0;0;0;2;0;1;2022-04-30-20:27:11;1,65135E+15
15;4;2;2246;4258;0;0;0;0;0;1;0;1;2022-04-30-20:27:12;1,65135E+15
16;5;3;2642;5114;336;26;168;6;0;1;0;1;2022-04-30-20:27:13;1,65135E+15
17;4;1;1901;3375;0;0;0;0;0;2;0;1;2022-04-30-20:27:14;1,65135E+15
18;4;2;1925;3545;8;2;148;12;0;1;0;1;2022-04-30-20:27:15;1,65135E+15
19;2;1;1787;3273;72;18;0;0;0;3;0;3;2022-04-30-20:27:16;1,65135E+15
20;5;2;2467;4726;20;4;0;0;0;2;0;1;2022-04-30-20:27:17;1,65135E+15
21;4;2;2085;3676;12;3;0;0;0;1;0;1;2022-04-30-20:27:18;1,65135E+15
