ID;cpu;sys;inter;ctxsw;KBRead;Reads;KBWrit;Writes;KBIn;PktIn;KBOut;PktOut;Data_original;Unix_time
1;1;0;79;298;0;0;0;0;0;2;0;2;2022-04-30-2:11:18;1,65128E+15
2;1;0;86;324;0;0;0;0;0;4;1;3;2022-04-30-2:11:19;1,65128E+15
3;1;0;111;324;0;0;0;0;1;10;1;11;2022-04-30-2:11:20;1,65128E+14
4;1;1;74;275;0;0;0;0;0;3;0;2;2022-04-30-2:11:21;1,65128E+15
5;1;0;81;291;0;0;32;2;0;2;0;2;2022-04-30-2:11:22;1,65128E+15
6;0;0;76;298;0;0;0;0;0;1;0;2;2022-04-30-2:11:23;1,65128E+15
7;0;0;73;269;0;0;0;0;0;2;0;2;2022-04-30-2:11:24;1,65128E+15
8;0;0;72;276;0;0;0;0;0;1;0;2;2022-04-30-2:11:25;1,65128E+15
9;0;0;82;293;0;0;0;0;0;1;0;2;2022-04-30-2:11:26;1,65128E+15
10;1;0;82;298;0;0;12;2;0;3;0;3;2022-04-30-2:11:27;1,65128E+15
11;1;0;110;347;0;0;0;0;0;1;0;2;2022-04-30-2:11:28;1,65128E+15
12;0;0;74;281;0;0;0;0;0;1;0;2;2022-04-30-2:11:29;1,65128E+15
13;0;0;77;287;0;0;0;0;0;2;0;2;2022-04-30-2:11:30;1,65128E+14
14;1;0;70;275;0;0;0;0;0;1;0;2;2022-04-30-2:11:31;1,65128E+15
15;0;0;82;292;0;0;12;2;0;1;0;2;2022-04-30-2:11:32;1,65128E+15
16;0;0;80;304;0;0;28;2;0;2;0;2;2022-04-30-2:11:33;1,65128E+15
17;0;0;74;270;0;0;0;0;0;1;0;2;2022-04-30-2:11:34;1,65128E+15
18;0;0;73;280;0;0;0;0;0;1;0;2;2022-04-30-2:11:35;1,65128E+15
19;1;0;80;286;0;0;0;0;0;2;0;2;2022-04-30-2:11:36;1,65128E+15
20;1;0;73;280;0;0;28;2;0;1;0;2;2022-04-30-2:11:37;1,65128E+15
21;0;0;81;269;0;0;0;0;0;1;0;2;2022-04-30-2:11:38;1,65128E+15
22;1;1;77;277;0;0;0;0;0;4;0;2;2022-04-30-2:11:39;1,65128E+15
23;0;0;79;283;0;0;0;0;0;3;0;2;2022-04-30-2:11:40;1,65128E+14
24;1;0;74;283;0;0;0;0;0;2;0;2;2022-04-30-2:11:41;1,65128E+15
25;0;0;82;295;0;0;12;2;0;3;0;2;2022-04-30-2:11:42;1,65128E+15
26;0;0;77;297;0;0;0;0;0;1;0;2;2022-04-30-2:11:43;1,65128E+15
27;0;0;76;280;0;0;0;0;0;1;0;2;2022-04-30-2:11:44;1,65128E+15
28;0;0;83;280;0;0;0;0;0;2;1;4;2022-04-30-2:11:45;1,65128E+15
29;1;0;75;284;0;0;0;0;0;1;0;2;2022-04-30-2:11:46;1,65128E+15
30;0;0;79;299;0;0;12;2;0;1;0;2;2022-04-30-2:11:47;1,65128E+15
31;0;0;80;288;0;0;8;2;0;2;0;2;2022-04-30-2:11:48;1,65128E+15
32;0;0;66;274;0;0;0;0;0;1;0;2;2022-04-30-2:11:49;1,65128E+15
33;1;0;76;278;0;0;0;0;0;1;0;2;2022-04-30-2:11:50;1,65128E+14
34;0;0;71;276;0;0;0;0;0;2;0;2;2022-04-30-2:11:51;1,65128E+15
35;1;0;85;306;0;0;24;3;0;1;0;3;2022-04-30-2:11:52;1,65128E+15
36;1;0;84;301;0;0;36;9;0;2;0;2;2022-04-30-2:11:53;1,65128E+15
37;0;0;76;273;0;0;0;0;0;2;0;2;2022-04-30-2:11:54;1,65128E+15
38;0;0;76;289;0;0;0;0;0;1;0;2;2022-04-30-2:11:55;1,65128E+15
39;1;0;82;291;0;0;0;0;0;1;0;2;2022-04-30-2:11:56;1,65128E+15
40;0;0;75;272;0;0;16;2;0;3;0;3;2022-04-30-2:11:57;1,65128E+15
