Time;KBIn;PktIn;KBOut;PktOut
17:56:36;3;19;1;14
17:56:37;2;12;3;13
17:56:38;2;10;2;10
17:56:39;2;15;1;11
17:56:40;2;10;2;10
17:56:41;2;10;2;9
17:56:42;2;15;1;12
17:56:43;2;10;2;10
17:56:44;1;8;1;7
17:56:45;3;17;3;15
17:56:46;2;10;2;12
17:56:47;1;10;1;8
17:56:48;2;10;2;10
17:56:49;2;10;2;11
17:56:50;2;15;1;12
17:56:51;2;10;2;11
17:56:52;2;10;2;10
17:56:53;2;15;1;11
17:56:54;2;11;2;11
17:56:55;2;10;2;11
17:56:56;2;15;1;12
17:56:57;2;11;3;12
17:56:58;2;10;2;10
17:56:59;2;15;1;11
17:57:00;2;10;2;10
17:57:01;1;9;2;9
17:57:02;4;20;2;14
17:57:03;2;10;2;10
17:57:04;1;8;1;7
17:57:05;2;10;2;11
17:57:06;2;11;2;11
17:57:07;2;16;1;12
17:57:08;2;10;2;11
17:57:09;2;10;2;11
17:57:10;2;15;1;13
17:57:11;2;10;2;10
17:57:12;2;10;2;10
17:57:13;2;15;1;12
17:57:14;2;11;2;11
17:57:15;2;10;3;10
17:57:16;2;15;1;12
17:57:17;2;11;2;12
17:57:18;2;10;2;10
17:57:19;2;15;1;12
17:57:20;2;10;2;10
17:57:21;1;8;1;6
17:57:22;3;16;3;14
17:57:23;1;4;2;6
17:57:24;2;15;1;11
17:57:25;2;10;2;10
17:57:26;2;10;2;10
17:57:27;3;19;2;16
17:57:28;2;10;2;10
17:57:29;2;10;2;11
17:57:30;2;15;1;12
17:57:31;2;10;2;11
17:57:32;2;11;2;10
17:57:33;2;15;1;11
17:57:34;2;10;2;10
17:57:35;2;12;2;11
17:57:36;2;15;1;11
17:57:37;2;10;3;10
17:57:38;1;8;1;7
17:57:39;3;17;2;14
17:57:40;2;9;2;8
17:57:41;1;9;1;8
17:57:42;2;10;2;10
17:57:43;2;10;2;10
17:57:44;2;15;1;11
17:57:45;2;10;2;10
17:57:46;2;10;2;10
17:57:47;2;16;1;11
17:57:48;2;10;2;10
17:57:49;2;10;2;10
17:57:50;2;15;1;12
17:57:51;2;10;2;11
17:57:52;3;15;3;16
17:57:53;2;15;1;11
17:57:54;2;10;2;10
17:57:55;1;8;1;6
17:57:56;3;17;3;15
17:57:57;2;9;2;9
17:57:58;1;9;1;7
17:57:59;2;11;3;12
17:58:00;2;9;2;9
17:58:01;2;15;1;11
17:58:02;2;12;2;11
17:58:03;2;10;2;10
17:58:04;2;15;1;11
17:58:05;2;10;2;10
17:58:06;2;10;2;10
17:58:07;2;15;1;11
17:58:08;2;10;2;10
17:58:09;2;10;2;10
17:58:10;2;15;1;11
17:58:11;2;10;2;11
17:58:12;2;11;2;11
17:58:13;2;15;1;13
17:58:14;2;11;2;10
17:58:15;1;8;1;6
17:58:16;3;17;3;15
17:58:17;2;8;2;10
17:58:18;2;12;1;8
17:58:19;2;10;2;10
17:58:20;2;10;2;10
17:58:21;2;15;1;11
17:58:22;2;10;2;10
17:58:23;2;10;2;10
17:58:24;2;15;1;11
17:58:25;2;13;3;13
17:58:26;2;10;2;11
17:58:27;2;16;1;13
17:58:28;2;11;2;11
17:58:29;2;10;2;10
17:58:30;2;16;1;13
17:58:31;2;10;2;11
17:58:32;1;9;1;9
17:58:33;2;16;2;13
17:58:34;2;10;2;11
17:58:35;1;8;1;7
17:58:36;2;11;2;12
17:58:37;2;10;2;10
17:58:38;2;16;1;12
17:58:39;2;10;2;11
17:58:40;2;10;2;10
17:58:41;2;15;1;11
17:58:42;3;13;3;14
17:58:43;2;10;3;11
17:58:44;2;15;1;12
17:58:45;2;10;2;11
17:58:46;2;10;2;10
17:58:47;2;15;1;11
17:58:48;2;10;2;10
17:58:49;2;12;2;12
17:58:50;2;15;1;11
17:58:51;2;10;2;10
17:58:52;1;8;1;8
17:58:53;2;13;2;13
17:58:54;3;15;3;13
17:58:55;1;8;1;6
17:58:56;2;10;2;10
17:58:57;2;10;2;11
17:58:58;2;15;1;12
17:58:59;2;10;2;11
17:59:00;2;10;2;10
17:59:01;2;15;1;11
17:59:02;2;10;2;10
17:59:03;2;10;2;10
17:59:04;2;15;1;11
17:59:05;2;10;3;10
17:59:06;2;10;2;11
17:59:07;3;20;2;17
17:59:08;2;10;2;11
17:59:09;2;10;2;9
17:59:10;2;15;1;12
17:59:11;2;11;2;10
17:59:12;1;8;1;6
17:59:13;2;10;2;11
17:59:14;2;13;3;13
17:59:15;2;12;1;10
17:59:16;2;10;2;10
17:59:17;2;11;2;11
17:59:18;2;15;1;11
17:59:19;2;10;2;10
17:59:20;2;10;2;10
17:59:21;2;15;1;11
17:59:22;2;10;2;10
17:59:23;2;10;2;11
17:59:24;2;15;1;12
17:59:25;2;10;2;11
17:59:26;1;8;1;8
17:59:27;3;18;2;16
17:59:28;1;6;2;8
17:59:29;1;5;0;3
17:59:30;0;1;0;1
17:59:31;0;1;0;1
17:59:32;3;12;1;11
17:59:33;1;3;2;6
17:59:34;2;15;1;12
17:59:35;3;17;3;16
17:59:36;1;3;2;5
17:59:37;2;15;1;11
17:59:38;3;17;3;15
17:59:39;1;3;2;6
17:59:40;2;15;1;12
17:59:41;3;17;3;16
17:59:42;1;5;2;6
17:59:43;2;16;1;11
17:59:44;3;17;3;15
17:59:45;1;4;2;4
17:59:46;2;15;1;12
17:59:47;3;17;3;15
17:59:48;0;1;0;2
17:59:49;3;17;3;16
17:59:50;1;9;3;12
