cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
0,0,79,289,0,0,0,0,0,2,0,2,2022-04-30,23:26:59
2,1,105,345,0,0,0,0,0,3,1,3,2022-04-30,23:27:00
6,0,95,352,0,0,0,0,0,1,0,2,2022-04-30,23:27:01
1,0,101,310,0,0,0,0,1,8,1,11,2022-04-30,23:27:02
1,0,87,308,0,0,36,2,0,1,0,2,2022-04-30,23:27:03
0,0,74,283,0,0,0,0,0,1,0,2,2022-04-30,23:27:04
0,0,82,274,0,0,44,11,0,2,0,2,2022-04-30,23:27:05
0,0,73,278,0,0,0,0,0,1,0,2,2022-04-30,23:27:06
1,1,81,286,0,0,0,0,0,1,0,2,2022-04-30,23:27:07
0,0,79,294,0,0,12,2,0,2,0,2,2022-04-30,23:27:08
1,0,83,289,0,0,0,0,0,1,0,2,2022-04-30,23:27:09
0,0,69,276,0,0,0,0,0,1,0,2,2022-04-30,23:27:10
0,0,80,294,0,0,0,0,0,2,0,2,2022-04-30,23:27:11
0,0,70,272,0,0,0,0,0,1,0,2,2022-04-30,23:27:12
1,0,83,294,0,0,12,2,0,1,0,2,2022-04-30,23:27:13
1,0,70,279,0,0,0,0,0,2,0,2,2022-04-30,23:27:14
0,0,84,292,0,0,0,0,0,1,0,2,2022-04-30,23:27:15
0,0,68,278,0,0,0,0,0,1,0,2,2022-04-30,23:27:16
0,0,71,281,0,0,0,0,0,2,0,2,2022-04-30,23:27:17
0,0,71,283,0,0,12,2,0,1,0,2,2022-04-30,23:27:18
1,0,81,291,0,0,0,0,0,1,0,2,2022-04-30,23:27:19
0,0,77,288,0,0,4,1,0,2,0,2,2022-04-30,23:27:20
1,0,76,276,0,0,0,0,0,1,0,2,2022-04-30,23:27:21
0,0,71,292,0,0,0,0,0,1,0,2,2022-04-30,23:27:22
0,0,85,303,0,0,12,2,0,2,0,2,2022-04-30,23:27:23
0,0,70,264,0,0,0,0,0,1,0,2,2022-04-30,23:27:24
0,0,79,287,0,0,0,0,0,1,0,2,2022-04-30,23:27:25
0,0,80,295,0,0,0,0,0,2,0,2,2022-04-30,23:27:26
0,0,77,286,0,0,0,0,0,1,0,2,2022-04-30,23:27:27
0,0,76,284,0,0,12,2,0,1,0,2,2022-04-30,23:27:28
0,0,74,282,0,0,0,0,0,2,0,2,2022-04-30,23:27:29
1,0,74,281,0,0,8,1,0,1,0,2,2022-04-30,23:27:30
1,0,102,316,0,0,0,0,0,7,1,11,2022-04-30,23:27:31
0,0,74,285,0,0,0,0,0,2,0,2,2022-04-30,23:27:32
1,0,80,298,0,0,24,3,0,1,0,2,2022-04-30,23:27:33
0,0,72,275,0,0,0,0,0,1,0,2,2022-04-30,23:27:34
1,0,82,280,0,0,28,1,0,2,0,2,2022-04-30,23:27:35
0,0,72,259,0,0,0,0,0,1,0,2,2022-04-30,23:27:36
0,0,72,252,0,0,0,0,0,1,0,2,2022-04-30,23:27:37
0,0,77,295,0,0,24,2,0,2,0,2,2022-04-30,23:27:38
1,0,74,284,0,0,0,0,0,1,0,2,2022-04-30,23:27:39
0,0,78,281,0,0,0,0,0,1,0,2,2022-04-30,23:27:40
1,0,79,291,0,0,0,0,0,2,0,2,2022-04-30,23:27:41
0,0,73,285,0,0,0,0,0,1,0,2,2022-04-30,23:27:42
1,0,78,287,0,0,12,2,0,1,0,2,2022-04-30,23:27:43
0,0,73,287,0,0,0,0,0,2,0,2,2022-04-30,23:27:44
0,0,87,294,0,0,16,4,0,1,0,2,2022-04-30,23:27:45
1,1,70,279,0,0,0,0,0,1,0,2,2022-04-30,23:27:46
0,0,75,274,0,0,0,0,0,2,0,2,2022-04-30,23:27:47
0,0,76,298,0,0,12,2,0,1,0,2,2022-04-30,23:27:48
0,0,73,283,0,0,0,0,0,1,0,2,2022-04-30,23:27:49
1,0,73,272,0,0,0,0,0,2,0,2,2022-04-30,23:27:50
0,0,75,288,0,0,0,0,0,1,0,2,2022-04-30,23:27:51
1,0,76,287,0,0,0,0,0,1,0,2,2022-04-30,23:27:52
0,0,79,284,0,0,12,2,0,2,0,2,2022-04-30,23:27:53
0,0,73,277,0,0,0,0,0,1,0,2,2022-04-30,23:27:54
0,0,80,299,0,0,0,0,0,1,0,2,2022-04-30,23:27:55
1,0,84,297,0,0,0,0,0,2,0,2,2022-04-30,23:27:56
0,0,71,265,0,0,0,0,0,1,0,2,2022-04-30,23:27:57
1,0,80,301,0,0,12,2,0,1,0,2,2022-04-30,23:27:58
1,1,78,286,0,0,0,0,0,2,0,2,2022-04-30,23:27:59
0,0,108,320,0,0,0,0,0,7,1,11,2022-04-30,23:28:00
7,0,87,348,0,0,0,0,0,1,0,2,2022-04-30,23:28:01
1,0,78,290,0,0,0,0,0,2,0,2,2022-04-30,23:28:02
0,0,81,289,0,0,16,2,0,1,0,2,2022-04-30,23:28:03
7,3,104,614,0,0,68,3,0,2,1,3,2022-04-30,23:28:04
0,0,81,288,0,0,8,1,0,2,0,2,2022-04-30,23:28:05
0,0,80,301,0,0,0,0,0,3,0,2,2022-04-30,23:28:06
1,0,76,274,0,0,0,0,0,1,0,2,2022-04-30,23:28:07
0,0,78,297,0,0,0,0,0,2,0,2,2022-04-30,23:28:08
0,0,78,281,0,0,0,0,0,2,0,3,2022-04-30,23:28:09
0,0,76,279,0,0,28,3,0,1,0,2,2022-04-30,23:28:10
1,0,78,294,0,0,0,0,0,2,0,2,2022-04-30,23:28:11
0,0,72,284,0,0,0,0,0,1,0,2,2022-04-30,23:28:12
0,0,73,275,0,0,0,0,0,1,0,2,2022-04-30,23:28:13
0,0,68,276,0,0,0,0,0,2,0,2,2022-04-30,23:28:14
0,0,88,306,0,0,12,2,0,1,0,2,2022-04-30,23:28:15
0,0,69,265,0,0,0,0,0,1,0,2,2022-04-30,23:28:16
0,0,73,285,0,0,0,0,0,2,0,2,2022-04-30,23:28:17
1,0,75,288,0,0,0,0,0,1,0,2,2022-04-30,23:28:18
0,0,74,272,0,0,0,0,0,1,0,2,2022-04-30,23:28:19
1,0,82,291,0,0,12,2,0,2,0,2,2022-04-30,23:28:20
1,0,77,286,0,0,0,0,0,1,0,2,2022-04-30,23:28:21
1,0,69,266,0,0,0,0,0,1,0,2,2022-04-30,23:28:22
0,0,77,293,0,0,0,0,0,2,0,2,2022-04-30,23:28:23
0,0,70,275,0,0,0,0,0,1,0,2,2022-04-30,23:28:24
0,0,79,278,0,0,72,16,0,1,0,2,2022-04-30,23:28:25
1,0,74,287,0,0,0,0,0,2,0,2,2022-04-30,23:28:26
0,0,77,284,0,0,0,0,0,1,0,2,2022-04-30,23:28:27
1,0,74,296,0,0,0,0,0,1,0,2,2022-04-30,23:28:28
0,0,106,314,0,0,0,0,1,8,1,11,2022-04-30,23:28:29
1,0,76,294,0,0,12,2,0,1,0,2,2022-04-30,23:28:30
0,0,79,291,0,0,0,0,0,1,0,2,2022-04-30,23:28:31
0,0,72,276,0,0,0,0,0,2,0,2,2022-04-30,23:28:32
0,0,75,285,0,0,0,0,0,1,0,2,2022-04-30,23:28:33
1,0,74,279,0,0,0,0,0,1,0,2,2022-04-30,23:28:34
0,0,83,287,0,0,40,4,0,2,0,2,2022-04-30,23:28:35
0,0,76,286,0,0,0,0,0,1,0,2,2022-04-30,23:28:36
1,0,75,280,0,0,0,0,0,1,0,2,2022-04-30,23:28:37
0,0,107,369,0,0,0,0,0,2,0,2,2022-04-30,23:28:38
1,1,77,276,0,0,0,0,0,1,0,2,2022-04-30,23:28:39
1,0,82,297,0,0,32,3,0,1,0,2,2022-04-30,23:28:40
1,0,80,299,0,0,0,0,0,1,0,2,2022-04-30,23:28:41
0,0,68,271,0,0,0,0,0,1,0,2,2022-04-30,23:28:42
0,0,78,294,0,0,0,0,0,1,0,2,2022-04-30,23:28:43
0,0,74,278,0,0,0,0,0,2,0,2,2022-04-30,23:28:44
1,0,87,288,0,0,24,3,0,1,0,2,2022-04-30,23:28:45
1,0,73,280,0,0,0,0,0,1,0,2,2022-04-30,23:28:46
0,0,80,291,0,0,0,0,0,2,0,2,2022-04-30,23:28:47
0,0,74,288,0,0,0,0,0,1,0,2,2022-04-30,23:28:48
1,0,73,272,0,0,0,0,0,1,0,2,2022-04-30,23:28:49
1,0,76,301,0,0,12,2,0,2,0,2,2022-04-30,23:28:50
0,0,74,287,0,0,0,0,0,1,0,2,2022-04-30,23:28:51
1,0,70,268,0,0,0,0,0,1,0,2,2022-04-30,23:28:52
0,0,74,287,0,0,0,0,0,2,0,2,2022-04-30,23:28:53
1,1,68,276,0,0,0,0,0,1,0,2,2022-04-30,23:28:54
0,0,80,288,0,0,12,2,0,1,0,2,2022-04-30,23:28:55
1,0,85,300,0,0,0,0,0,2,0,2,2022-04-30,23:28:56
0,0,71,277,0,0,0,0,0,1,0,2,2022-04-30,23:28:57
0,0,101,326,0,0,0,0,0,7,1,11,2022-04-30,23:28:58
1,0,75,274,0,0,0,0,0,2,0,2,2022-04-30,23:28:59
0,0,87,300,0,0,12,2,0,1,0,2,2022-04-30,23:29:00
7,1,90,347,0,0,0,0,0,1,0,2,2022-04-30,23:29:01
1,0,78,284,0,0,0,0,0,2,0,2,2022-04-30,23:29:02
0,0,78,290,0,0,0,0,0,1,0,2,2022-04-30,23:29:03
