cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
2,1,113,471,0,0,0,0,0,2,0,2,2022-04-30,23:58:28
0,0,129,533,0,0,0,0,0,3,1,3,2022-04-30,23:58:29
0,0,114,473,0,0,0,0,0,1,0,2,2022-04-30,23:58:30
2,1,156,526,0,0,28,1,1,9,1,11,2022-04-30,23:58:31
0,0,117,483,0,0,40,2,0,1,0,2,2022-04-30,23:58:32
0,0,111,477,0,0,0,0,0,1,0,2,2022-04-30,23:58:33
1,1,113,476,0,0,0,0,0,2,0,2,2022-04-30,23:58:34
0,0,110,474,0,0,0,0,0,1,0,2,2022-04-30,23:58:35
0,0,116,484,0,0,0,0,0,1,0,2,2022-04-30,23:58:36
0,0,113,467,0,0,0,0,0,2,0,2,2022-04-30,23:58:37
0,0,115,477,0,0,12,2,0,1,0,2,2022-04-30,23:58:38
0,0,114,494,0,0,0,0,0,1,0,2,2022-04-30,23:58:39
1,0,115,476,0,0,0,0,0,2,0,2,2022-04-30,23:58:40
0,0,111,470,0,0,0,0,0,1,0,2,2022-04-30,23:58:41
0,0,113,470,0,0,0,0,0,1,0,2,2022-04-30,23:58:42
0,0,114,478,0,0,12,2,0,2,0,2,2022-04-30,23:58:43
0,0,121,500,0,0,0,0,0,1,0,2,2022-04-30,23:58:44
0,0,119,483,0,0,0,0,0,3,0,4,2022-04-30,23:58:45
0,0,116,479,0,0,0,0,0,2,0,2,2022-04-30,23:58:46
0,0,113,473,0,0,0,0,0,1,0,2,2022-04-30,23:58:47
1,0,119,489,0,0,12,2,0,1,0,2,2022-04-30,23:58:48
0,0,114,480,0,0,0,0,0,2,0,2,2022-04-30,23:58:49
0,0,117,471,0,0,0,0,0,2,0,3,2022-04-30,23:58:50
1,0,111,494,0,0,0,0,0,1,0,2,2022-04-30,23:58:51
0,0,116,472,0,0,0,0,0,2,0,2,2022-04-30,23:58:52
0,0,112,474,0,0,12,2,0,1,0,2,2022-04-30,23:58:53
0,0,113,475,0,0,0,0,0,1,0,2,2022-04-30,23:58:54
0,0,112,484,0,0,0,0,0,2,0,2,2022-04-30,23:58:55
0,0,114,472,0,0,0,0,0,1,0,2,2022-04-30,23:58:56
0,0,109,473,0,0,0,0,0,1,0,2,2022-04-30,23:58:57
0,0,115,478,0,0,12,2,0,2,0,2,2022-04-30,23:58:58
0,0,112,481,0,0,0,0,0,1,0,2,2022-04-30,23:58:59
0,0,113,472,0,0,0,0,0,1,0,2,2022-04-30,23:59:00
11,1,140,568,0,0,8,2,0,3,0,3,2022-04-30,23:59:01
0,0,115,475,0,0,0,0,0,1,0,2,2022-04-30,23:59:02
0,0,107,480,0,0,28,3,0,1,0,2,2022-04-30,23:59:03
0,0,116,480,0,0,0,0,0,2,0,2,2022-04-30,23:59:04
0,0,113,477,0,0,0,0,0,1,0,2,2022-04-30,23:59:05
0,0,125,494,0,0,32,8,0,1,0,2,2022-04-30,23:59:06
0,0,109,467,0,0,0,0,0,2,0,2,2022-04-30,23:59:07
0,0,115,477,0,0,12,2,0,1,0,2,2022-04-30,23:59:08
0,0,112,480,0,0,0,0,0,1,0,2,2022-04-30,23:59:09
0,0,119,491,0,0,0,0,0,3,0,2,2022-04-30,23:59:10
0,0,110,474,0,0,0,0,0,1,0,2,2022-04-30,23:59:11
1,0,113,470,0,0,0,0,0,1,0,2,2022-04-30,23:59:12
0,0,111,482,0,0,12,2,0,2,0,2,2022-04-30,23:59:13
0,0,121,497,0,0,0,0,0,1,0,2,2022-04-30,23:59:14
0,0,122,491,0,0,0,0,1,3,0,2,2022-04-30,23:59:15
0,0,116,474,0,0,0,0,0,2,0,2,2022-04-30,23:59:16
0,0,110,469,0,0,0,0,0,1,0,2,2022-04-30,23:59:17
0,0,115,486,0,0,12,2,0,1,0,2,2022-04-30,23:59:18
0,0,113,486,0,0,0,0,0,2,0,2,2022-04-30,23:59:19
1,0,114,474,0,0,0,0,0,1,0,2,2022-04-30,23:59:20
0,0,109,470,0,0,0,0,0,1,0,2,2022-04-30,23:59:21
0,0,113,472,0,0,0,0,0,2,0,2,2022-04-30,23:59:22
1,0,114,490,0,0,12,2,0,1,0,2,2022-04-30,23:59:23
0,0,117,481,0,0,0,0,0,1,0,2,2022-04-30,23:59:24
0,0,112,473,0,0,0,0,0,2,0,2,2022-04-30,23:59:25
0,0,116,476,0,0,0,0,0,1,0,2,2022-04-30,23:59:26
0,0,107,464,0,0,0,0,0,1,0,2,2022-04-30,23:59:27
0,0,114,478,0,0,12,2,0,2,0,2,2022-04-30,23:59:28
0,0,119,500,0,0,0,0,0,1,0,2,2022-04-30,23:59:29
1,1,142,520,0,0,0,0,0,7,1,11,2022-04-30,23:59:30
1,1,125,488,0,0,28,1,0,3,0,3,2022-04-30,23:59:31
0,0,117,476,0,0,0,0,0,1,0,2,2022-04-30,23:59:32
0,0,113,485,0,0,24,2,0,1,0,2,2022-04-30,23:59:33
0,0,111,475,0,0,0,0,0,2,0,2,2022-04-30,23:59:34
0,0,116,485,0,0,0,0,0,1,0,2,2022-04-30,23:59:35
0,0,119,487,0,0,8,1,0,1,0,2,2022-04-30,23:59:36
0,0,113,471,0,0,0,0,0,2,0,2,2022-04-30,23:59:37
0,0,112,476,0,0,24,3,0,1,0,2,2022-04-30,23:59:38
0,0,114,496,0,0,0,0,0,1,0,2,2022-04-30,23:59:39
0,0,111,470,0,0,0,0,0,2,0,2,2022-04-30,23:59:40
1,0,110,467,0,0,0,0,0,1,0,2,2022-04-30,23:59:41
0,0,112,465,0,0,0,0,0,1,0,2,2022-04-30,23:59:42
0,0,112,483,0,0,12,2,0,2,0,2,2022-04-30,23:59:43
0,0,118,494,0,0,0,0,0,1,0,2,2022-04-30,23:59:44
1,0,116,479,0,0,0,0,0,1,0,2,2022-04-30,23:59:45
0,0,116,481,0,0,0,0,0,2,0,2,2022-04-30,23:59:46
0,0,113,475,0,0,0,0,0,1,0,2,2022-04-30,23:59:47
0,0,117,480,0,0,12,2,0,1,0,2,2022-04-30,23:59:48
0,0,117,495,0,0,0,0,0,2,0,2,2022-04-30,23:59:49
0,0,110,468,0,0,0,0,0,1,0,2,2022-04-30,23:59:50
1,0,111,472,0,0,0,0,0,1,0,2,2022-04-30,23:59:51
0,0,113,473,0,0,0,0,0,2,0,2,2022-04-30,23:59:52
1,0,119,490,0,0,12,2,0,1,0,2,2022-04-30,23:59:53
0,0,117,477,0,0,0,0,0,1,0,2,2022-04-30,23:59:54
0,0,117,479,0,0,0,0,0,2,0,2,2022-04-30,23:59:55
0,0,115,476,0,0,0,0,0,1,0,2,2022-04-30,23:59:56
0,0,113,486,0,0,0,0,0,1,0,2,2022-04-30,23:59:57
0,0,114,475,0,0,12,2,0,2,0,2,2022-04-30,23:59:58
0,0,112,481,0,0,0,0,0,1,0,2,2022-04-30,23:59:59
1,0,117,473,0,0,0,0,0,1,0,2,2022-04-30,00:00:00
8,2,139,553,0,0,0,0,0,3,0,3,2022-04-30,00:00:01
0,0,121,486,0,0,0,0,0,1,0,2,2022-04-30,00:00:02
0,0,116,483,0,0,16,2,0,1,0,2,2022-04-30,00:00:03
0,0,117,482,0,0,0,0,0,2,0,2,2022-04-30,00:00:04
1,0,118,485,0,0,0,0,0,1,0,2,2022-04-30,00:00:05
0,0,124,489,0,0,16,4,0,1,0,2,2022-04-30,00:00:06
0,0,112,470,0,0,0,0,0,2,0,2,2022-04-30,00:00:07
0,0,117,483,0,0,12,2,0,1,0,2,2022-04-30,00:00:08
0,0,114,481,0,0,0,0,0,1,0,2,2022-04-30,00:00:09
0,0,117,485,0,0,0,0,0,2,0,2,2022-04-30,00:00:10
0,0,112,472,0,0,8,1,0,1,0,2,2022-04-30,00:00:11
1,0,116,472,0,0,0,0,0,1,0,2,2022-04-30,00:00:12
