cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
3,1,1913,3456,8,2,0,0,0,1,0,1,2022-04-30,23:28:18
4,2,2095,3715,16,4,24,5,0,1,0,1,2022-04-30,23:28:19
6,2,2310,4553,116,11,598,17,0,3,0,2,2022-04-30,23:28:20
8,2,2183,3778,60,15,12,3,1,4,1,5,2022-04-30,23:28:21
3,1,1808,3235,0,0,0,0,0,1,0,1,2022-04-30,23:28:22
6,3,2852,5584,24,6,208,6,0,2,0,1,2022-04-30,23:28:23
2,1,1643,3135,0,0,0,0,0,1,0,1,2022-04-30,23:28:24
4,2,2042,3958,8,2,84,3,0,1,0,1,2022-04-30,23:28:25
4,2,1862,3331,92,22,60,12,0,2,0,1,2022-04-30,23:28:26
4,2,2366,4575,24,6,0,0,0,1,0,1,2022-04-30,23:28:27
5,2,2113,3821,24,6,0,0,1,8,1,6,2022-04-30,23:28:28
8,5,3038,6406,48,11,344,33,2,11,2,10,2022-04-30,23:28:29
5,0,1842,3247,12,3,528,10,0,1,0,1,2022-04-30,23:28:30
4,2,2081,3819,96,24,16,4,0,2,0,2,2022-04-30,23:28:31
4,2,1822,3474,4,1,0,0,0,2,0,1,2022-04-30,23:28:32
5,2,3065,5934,624,21,200,7,0,1,0,1,2022-04-30,23:28:33
3,2,1981,3697,16,4,0,0,0,1,0,1,2022-04-30,23:28:34
4,2,1992,3682,12,3,88,3,0,2,0,1,2022-04-30,23:28:35
4,1,1845,3174,80,20,400,81,0,1,0,1,2022-04-30,23:28:36
5,3,2574,4699,168,10,0,0,0,1,0,1,2022-04-30,23:28:37
5,2,2196,3793,56,14,0,0,0,2,0,1,2022-04-30,23:28:38
6,3,2258,4048,8,2,0,0,0,2,0,2,2022-04-30,23:28:39
7,2,2386,4456,64,16,792,29,0,1,0,1,2022-04-30,23:28:40
6,3,2297,3961,112,21,8,2,0,2,0,2,2022-04-30,23:28:41
4,1,1947,3538,0,0,0,0,0,1,0,1,2022-04-30,23:28:42
6,3,2947,5589,300,17,172,6,0,1,0,1,2022-04-30,23:28:43
4,2,1913,3302,8,2,36,5,0,2,0,1,2022-04-30,23:28:44
4,1,2171,4150,12,3,208,9,0,1,0,1,2022-04-30,23:28:45
3,1,2010,3463,104,26,4,1,1,5,1,7,2022-04-30,23:28:46
6,2,2774,5073,104,25,0,0,0,2,0,1,2022-04-30,23:28:47
4,2,2378,3999,72,16,2056,73,0,1,0,1,2022-04-30,23:28:48
15,6,2812,6955,757,48,0,0,0,1,0,1,2022-04-30,23:28:49
12,7,2981,9187,64,16,2410,272,0,2,0,1,2022-04-30,23:28:50
5,3,2714,4495,732,175,2208,82,0,1,0,1,2022-04-30,23:28:51
5,2,2125,3829,496,8,1640,63,0,1,0,1,2022-04-30,23:28:52
5,2,2578,4776,24,6,0,0,0,2,0,1,2022-04-30,23:28:53
3,1,2305,4170,4,1,192,11,0,1,0,2,2022-04-30,23:28:54
3,1,2269,4031,4,1,116,3,0,1,0,1,2022-04-30,23:28:55
2,1,1827,3237,76,19,52,9,0,3,0,2,2022-04-30,23:28:56
6,3,2720,5046,164,20,2857,105,1,8,1,6,2022-04-30,23:28:57
8,4,3046,6203,68,17,2524,113,2,10,2,10,2022-04-30,23:28:58
4,3,2490,4444,4,1,0,0,0,2,0,1,2022-04-30,23:28:59
4,1,1814,3066,96,9,148,3,0,1,0,1,2022-04-30,23:29:00
4,2,2171,3826,100,25,36,4,0,1,0,1,2022-04-30,23:29:01
3,2,1799,3193,16,4,0,0,0,2,0,1,2022-04-30,23:29:02
3,2,2225,4158,8,2,0,0,0,1,0,1,2022-04-30,23:29:03
5,2,2645,5145,188,17,196,6,0,1,0,1,2022-04-30,23:29:04
3,2,2431,4220,20,5,1702,79,0,2,0,1,2022-04-30,23:29:05
3,1,2006,3361,88,21,2406,90,0,1,0,1,2022-04-30,23:29:06
3,1,2614,4810,24,6,0,0,0,1,0,1,2022-04-30,23:29:07
2,1,2276,4108,28,7,0,0,0,3,0,2,2022-04-30,23:29:08
4,2,2230,3987,16,4,28,5,0,1,0,1,2022-04-30,23:29:09
3,1,2253,4408,4,1,416,17,0,1,0,1,2022-04-30,23:29:10
4,1,2553,4380,1353,189,549,103,1,7,1,6,2022-04-30,23:29:11
3,1,1920,3509,104,5,0,0,0,1,0,1,2022-04-30,23:29:12
3,2,2097,3886,16,4,0,0,0,1,0,1,2022-04-30,23:29:13
4,2,2535,4833,16,4,244,10,0,2,0,1,2022-04-30,23:29:14
3,1,2058,3952,12,3,76,3,0,1,0,1,2022-04-30,23:29:15
4,2,1810,3344,128,22,8,2,0,1,0,1,2022-04-30,23:29:16
4,3,2653,5075,12,3,0,0,0,2,0,2,2022-04-30,23:29:17
2,1,2083,3657,16,4,0,0,0,1,0,1,2022-04-30,23:29:18
4,2,2253,4010,28,7,24,5,0,1,0,1,2022-04-30,23:29:19
4,2,2438,4658,12,3,536,23,0,2,0,1,2022-04-30,23:29:20
6,1,2151,3981,88,22,416,12,0,3,0,3,2022-04-30,23:29:21
3,1,1957,3399,256,32,0,0,0,1,0,1,2022-04-30,23:29:22
5,3,2632,4645,1125,276,0,0,0,2,0,1,2022-04-30,23:29:23
3,1,2302,4398,4,1,244,7,0,1,0,1,2022-04-30,23:29:24
3,1,2014,3893,24,6,72,3,0,1,0,1,2022-04-30,23:29:25
4,2,2038,3671,96,22,64,12,1,9,1,6,2022-04-30,23:29:26
7,3,3280,6932,40,10,312,31,2,10,2,10,2022-04-30,23:29:27
3,1,2054,3634,12,3,0,0,0,1,0,1,2022-04-30,23:29:28
4,2,2165,4035,8,2,0,0,0,2,0,1,2022-04-30,23:29:29
4,1,1845,3158,0,0,376,10,0,1,0,1,2022-04-30,23:29:30
3,1,2088,3625,132,25,531,99,0,2,0,2,2022-04-30,23:29:31
4,2,2016,3727,0,0,0,0,0,2,0,1,2022-04-30,23:29:32
3,1,2028,3857,20,5,0,0,0,1,0,1,2022-04-30,23:29:33
5,3,2394,4636,24,6,248,7,0,1,0,1,2022-04-30,23:29:34
4,3,2062,3949,24,6,72,3,0,2,0,1,2022-04-30,23:29:35
3,1,1769,3131,116,21,0,0,1,4,1,5,2022-04-30,23:29:36
4,2,2659,4910,20,5,0,0,0,1,0,1,2022-04-30,23:29:37
4,2,2271,4000,148,36,0,0,0,2,0,1,2022-04-30,23:29:38
3,1,2340,4343,116,15,0,0,0,1,0,1,2022-04-30,23:29:39
5,2,2432,4587,28,3,488,24,0,1,0,1,2022-04-30,23:29:40
3,1,2271,4042,16,4,328,71,0,2,0,1,2022-04-30,23:29:41
2,1,1751,3207,20,5,0,0,0,1,0,1,2022-04-30,23:29:42
4,2,2110,3905,36,9,0,0,0,1,0,1,2022-04-30,23:29:43
5,2,2741,5086,2664,129,292,11,0,2,0,1,2022-04-30,23:29:44
4,2,2068,3966,0,0,180,9,0,1,0,1,2022-04-30,23:29:45
3,1,1806,3222,68,16,0,0,0,3,0,3,2022-04-30,23:29:46
3,2,2394,4530,28,7,0,0,0,2,0,1,2022-04-30,23:29:47
4,1,2211,3818,16,4,2152,81,0,1,0,1,2022-04-30,23:29:48
20,11,2943,6755,12,3,9428,1341,0,1,0,1,2022-04-30,23:29:49
7,3,2516,4783,48,12,412,17,0,2,0,2,2022-04-30,23:29:50
4,2,2297,4011,108,18,2072,76,0,1,0,1,2022-04-30,23:29:51
4,2,2070,3786,1324,17,1632,69,0,1,0,1,2022-04-30,23:29:52
4,1,2038,3915,20,5,0,0,0,2,0,1,2022-04-30,23:29:53
4,1,2325,4463,100,5,196,11,0,1,0,1,2022-04-30,23:29:54
5,2,2223,4284,8,2,104,3,1,8,1,6,2022-04-30,23:29:55
8,4,2975,5823,1940,121,296,29,2,13,2,12,2022-04-30,23:29:56
4,2,2651,4768,52,13,2751,100,0,1,0,1,2022-04-30,23:29:57
10,6,3125,5021,2222,551,2358,83,0,1,0,1,2022-04-30,23:29:58
4,2,2165,3845,4,1,0,0,0,2,0,1,2022-04-30,23:29:59
4,1,1782,3157,0,0,384,10,0,1,0,1,2022-04-30,23:30:00
4,1,2216,4184,132,17,0,0,1,4,1,5,2022-04-30,23:30:01
3,2,1802,3272,4,1,0,0,0,2,0,1,2022-04-30,23:30:02
3,2,2150,3844,24,6,0,0,0,1,0,1,2022-04-30,23:30:03
5,2,2514,4733,176,12,188,6,0,1,0,1,2022-04-30,23:30:04
3,1,2288,3972,16,4,1644,68,0,2,0,1,2022-04-30,23:30:05
4,2,2047,3730,108,18,0,0,0,1,0,1,2022-04-30,23:30:06
6,3,2611,4773,88,22,2322,72,0,1,0,1,2022-04-30,23:30:07
4,2,2190,3921,8,2,0,0,0,2,0,1,2022-04-30,23:30:08
4,2,2104,3930,4,1,28,5,0,1,0,1,2022-04-30,23:30:09
6,3,2573,4768,160,40,507,19,0,1,0,1,2022-04-30,23:30:10
4,1,2247,4082,124,21,44,8,0,4,0,3,2022-04-30,23:30:11
4,2,1980,3660,8,2,0,0,0,1,0,1,2022-04-30,23:30:12
3,2,2173,3980,32,8,0,0,0,1,0,1,2022-04-30,23:30:13
6,3,2573,4888,20,5,188,6,0,2,0,1,2022-04-30,23:30:14
4,2,2126,3925,8,2,68,3,0,1,0,1,2022-04-30,23:30:15
3,2,1828,3234,96,11,492,90,0,1,0,1,2022-04-30,23:30:16
4,2,2380,4607,32,6,0,0,0,2,0,1,2022-04-30,23:30:17
3,2,2093,3787,8,2,0,0,0,1,0,1,2022-04-30,23:30:18
3,2,2103,3869,16,4,24,5,0,1,0,1,2022-04-30,23:30:19
5,2,2319,4381,20,5,600,25,0,2,0,1,2022-04-30,23:30:20
8,2,2213,3952,76,18,28,3,0,3,0,3,2022-04-30,23:30:21
4,2,1850,3230,0,0,0,0,0,1,0,1,2022-04-30,23:30:22
4,2,2116,3999,28,7,0,0,0,2,0,1,2022-04-30,23:30:23
6,3,2811,5262,116,13,180,7,1,8,1,6,2022-04-30,23:30:24
9,5,3444,6843,2322,78,332,28,2,10,2,10,2022-04-30,23:30:25
4,2,1985,3369,156,26,8,2,1,5,1,5,2022-04-30,23:30:26
4,2,2462,4570,4,1,0,0,0,1,0,1,2022-04-30,23:30:27
6,4,2672,4311,2777,298,124,6,0,1,0,1,2022-04-30,23:30:28
4,2,2169,3904,8,2,0,0,0,2,0,1,2022-04-30,23:30:29
5,1,2061,3628,112,18,412,10,0,1,0,1,2022-04-30,23:30:30
5,2,2233,3815,48,12,488,94,0,1,0,1,2022-04-30,23:30:31
4,2,1994,3591,0,0,0,0,0,2,0,1,2022-04-30,23:30:32
4,2,2111,3843,24,6,0,0,0,1,0,1,2022-04-30,23:30:33
8,4,2761,4995,1418,315,0,0,0,1,0,1,2022-04-30,23:30:34
4,2,2323,4530,8,2,337,13,0,2,0,1,2022-04-30,23:30:35
3,2,1668,3006,4,1,0,0,0,3,0,3,2022-04-30,23:30:36
5,3,2257,4323,0,0,0,0,0,1,0,1,2022-04-30,23:30:37
4,1,2032,3871,20,5,0,0,1,4,0,1,2022-04-30,23:30:38
3,1,2018,3852,4,1,0,0,0,1,0,1,2022-04-30,23:30:39
6,2,2269,4340,0,0,501,22,0,1,0,1,2022-04-30,23:30:40
5,2,2033,3729,16,4,0,0,0,2,0,1,2022-04-30,23:30:41
4,1,1726,3139,0,0,0,0,0,1,0,1,2022-04-30,23:30:42
5,2,2000,3756,20,5,0,0,0,1,0,1,2022-04-30,23:30:43
