cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
3,2,2005,3618,20,4,344,72,0,1,0,1,2022-04-30,01:12:37
4,3,2154,4233,8,2,0,0,0,1,0,1,2022-04-30,01:12:38
2,1,1802,3218,8,2,0,0,0,3,0,1,2022-04-30,01:12:39
5,2,2390,4722,28,7,620,24,0,3,0,1,2022-04-30,01:12:40
21,13,3140,29843,20,5,7956,1265,0,3,0,1,2022-04-30,01:12:41
4,2,2227,3980,48,12,80,14,0,3,0,1,2022-04-30,01:12:42
6,3,2769,5410,60,8,224,7,0,1,0,1,2022-04-30,01:12:43
3,2,2173,4037,192,32,36,5,0,3,0,3,2022-04-30,01:12:44
4,2,2615,5091,372,35,236,16,0,2,0,1,2022-04-30,01:12:45
3,2,2165,3839,20,5,0,0,0,1,0,1,2022-04-30,01:12:46
3,2,2045,3880,12,3,8,2,0,1,0,1,2022-04-30,01:12:47
2,1,2212,4114,4,1,0,0,0,2,0,1,2022-04-30,01:12:48
3,1,1931,3330,12,3,0,0,0,1,0,1,2022-04-30,01:12:49
6,2,2336,4262,16,4,503,10,0,1,0,1,2022-04-30,01:12:50
3,1,2123,3709,484,49,0,0,0,2,0,1,2022-04-30,01:12:51
7,4,2916,5096,1324,274,1116,49,0,1,0,1,2022-04-30,01:12:52
5,2,2930,5603,216,22,164,6,0,1,0,1,2022-04-30,01:12:53
4,2,2184,3863,12,3,0,0,0,4,0,3,2022-04-30,01:12:54
4,2,2268,3857,44,11,3600,138,0,3,0,3,2022-04-30,01:12:55
4,2,2205,4062,12,3,0,0,0,1,0,1,2022-04-30,01:12:56
2,1,2023,3581,24,6,0,0,0,2,0,1,2022-04-30,01:12:57
5,3,2388,4164,216,54,360,90,0,1,0,1,2022-04-30,01:12:58
4,1,2147,3749,32,8,0,0,1,5,1,5,2022-04-30,01:12:59
6,2,2628,5005,32,8,659,21,0,6,0,3,2022-04-30,01:13:00
3,2,2083,3599,68,17,1429,54,0,3,0,1,2022-04-30,01:13:01
4,2,2312,4269,8,2,44,8,0,2,0,1,2022-04-30,01:13:02
6,3,3013,5714,52,12,1888,74,0,2,0,1,2022-04-30,01:13:03
2,1,2289,4044,8,2,0,0,0,1,0,1,2022-04-30,01:13:04
4,2,2032,3648,8,2,84,3,0,1,0,1,2022-04-30,01:13:05
2,1,2132,3746,8,2,0,0,0,2,0,1,2022-04-30,01:13:06
4,1,2171,3803,40,10,12,3,0,1,0,1,2022-04-30,01:13:07
4,2,2557,4536,56,7,937,58,0,1,0,1,2022-04-30,01:13:08
3,2,1974,3372,12,2,0,0,0,4,0,3,2022-04-30,01:13:09
7,3,2845,5215,80,19,529,22,0,1,0,1,2022-04-30,01:13:10
4,2,2450,3993,528,112,2028,69,0,1,0,1,2022-04-30,01:13:11
5,3,2502,4425,24,6,496,86,0,2,0,1,2022-04-30,01:13:12
5,3,3000,5763,32,8,148,6,0,1,0,1,2022-04-30,01:13:13
4,2,2323,4050,476,21,0,0,0,1,0,1,2022-04-30,01:13:14
3,1,2139,3692,4,1,88,3,0,2,0,1,2022-04-30,01:13:15
3,2,2168,3789,8,2,0,0,0,1,0,1,2022-04-30,01:13:16
4,2,2173,3730,20,5,24,6,0,1,0,1,2022-04-30,01:13:17
3,1,2405,4289,4,1,0,0,0,2,0,1,2022-04-30,01:13:18
2,1,1935,3262,0,0,0,0,0,4,0,3,2022-04-30,01:13:19
6,3,2908,5256,416,56,661,24,0,3,0,1,2022-04-30,01:13:20
7,2,2160,3646,264,54,0,0,0,4,0,1,2022-04-30,01:13:21
3,1,2216,4118,24,6,20,4,0,2,0,1,2022-04-30,01:13:22
5,2,2956,5685,12,3,380,56,0,1,0,1,2022-04-30,01:13:23
4,2,2201,4126,32,8,0,0,1,5,1,5,2022-04-30,01:13:24
3,1,2036,3751,0,0,92,3,0,1,0,1,2022-04-30,01:13:25
3,1,2045,3784,28,3,0,0,0,1,0,1,2022-04-30,01:13:26
6,3,2652,4617,3103,409,8,2,0,2,0,1,2022-04-30,01:13:27
4,2,2207,4143,16,1,0,0,0,1,0,1,2022-04-30,01:13:28
3,1,1910,3410,16,4,0,0,0,1,0,1,2022-04-30,01:13:29
7,2,2641,5181,100,21,536,19,0,2,0,1,2022-04-30,01:13:30
3,1,1960,3426,28,7,0,0,0,1,0,1,2022-04-30,01:13:31
3,2,2261,4214,0,0,344,63,0,1,0,1,2022-04-30,01:13:32
5,2,3003,5668,384,20,280,7,0,2,0,1,2022-04-30,01:13:33
3,2,2296,4055,12,3,0,0,0,3,0,3,2022-04-30,01:13:34
3,2,2120,3912,4,1,84,3,0,1,0,1,2022-04-30,01:13:35
4,1,2095,3827,28,7,0,0,0,2,0,1,2022-04-30,01:13:36
4,2,2096,3821,36,9,0,0,0,1,0,1,2022-04-30,01:13:37
4,2,2518,4447,248,54,0,0,0,1,0,1,2022-04-30,01:13:38
4,2,2021,3448,36,9,0,0,0,3,0,1,2022-04-30,01:13:39
14,6,3113,6955,20,5,1604,173,0,3,0,1,2022-04-30,01:13:40
16,10,2803,5331,40,6,5592,812,0,3,0,1,2022-04-30,01:13:41
4,2,2436,4217,32,4,32,5,0,3,0,1,2022-04-30,01:13:42
5,2,3123,5813,856,28,240,6,0,1,0,1,2022-04-30,01:13:43
3,1,2373,4052,80,18,36,5,0,3,0,3,2022-04-30,01:13:44
3,2,2081,3787,8,2,204,9,0,2,0,1,2022-04-30,01:13:45
3,1,2120,3917,12,3,0,0,0,1,0,1,2022-04-30,01:13:46
4,1,2207,3693,32,8,384,79,0,1,0,1,2022-04-30,01:13:47
4,2,2333,4135,4,1,0,0,0,2,0,1,2022-04-30,01:13:48
6,2,1949,3346,56,14,0,0,1,4,1,5,2022-04-30,01:13:49
4,2,2785,5191,36,5,360,12,0,1,0,1,2022-04-30,01:13:50
4,1,2099,3611,132,17,0,0,0,2,0,1,2022-04-30,01:13:51
4,2,2674,4705,344,79,1071,53,0,1,0,1,2022-04-30,01:13:52
4,2,2851,5305,12,3,0,0,0,1,0,1,2022-04-30,01:13:53
4,3,2465,4665,12,3,128,6,0,2,0,1,2022-04-30,01:13:54
5,3,2340,4064,4,1,3433,128,0,1,0,1,2022-04-30,01:13:55
3,1,2150,3879,8,2,0,0,0,1,1,3,2022-04-30,01:13:56
3,2,2115,3741,52,13,0,0,0,2,0,1,2022-04-30,01:13:57
4,2,2339,4218,16,4,0,0,0,1,0,1,2022-04-30,01:13:58
3,1,1951,3421,4,1,0,0,0,4,0,3,2022-04-30,01:13:59
