ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
18,23,56,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650932623360780000,1650968744044079,-1.649281654616736e+18
19,23,56,"1479626038,4886,6091,2449410,3732594,4582,3713,1794981,2990025,4586,3714,1793581,2993346,3703,4589,1800108,2836555,4059,5043,2112857,3033260,5031,4060,1932923,3527605,4502,3707,1721892,3063693,3696,4505,1847872,2697197,6010,4796,2272082,4102361,5906,7426,3082214,4331494,3483,4223,1705307,2557549,4167,3487,1603670,2822663",,1650932742487785000,1650968744044079,-1.649281773743741e+18
20,23,56,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932742487785000,1650968744044079,-1.649281773743741e+18
21,23,56,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932742487785000,1650968745045657,-1.6492817737427392e+18
22,23,14,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932742487785000,1650968745045657,-1.6492817737427392e+18
23,23,14,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932743903960300,1650968745045657,-1.6492817751589146e+18
24,23,14,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932743903960300,1650968745045657,-1.6492817751589146e+18
25,33,14,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932743903960300,1650968864044633,-1.6492817750399158e+18
26,33,28,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932743903960300,1650968864044633,-1.6492817750399158e+18
27,33,28,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650932863030096400,1650968864044633,-1.6492818941660518e+18
28,33,28,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932863030096400,1650968864044633,-1.6492818941660518e+18
29,12,28,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932863030096400,165096886604618,-1.6507677661434918e+18
30,12,60,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932863030096400,165096886604618,-1.6507677661434918e+18
31,12,60,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932864460038400,165096886604618,-1.6507677675734339e+18
32,12,60,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932864460038400,165096886604618,-1.6507677675734339e+18
33,18,60,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932864460038400,1650968985045157,-1.6492818954749932e+18
34,18,98,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932864460038400,1650968985045157,-1.6492818954749932e+18
35,18,98,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650932983586319400,1650968985045157,-1.649282014601274e+18
36,18,98,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932983586319400,1650968985045157,-1.649282014601274e+18
37,36,98,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932983586319400,1650968986046725,-1.6492820146002726e+18
38,36,99,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932983586319400,1650968986046725,-1.6492820146002726e+18
39,36,99,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932985004300000,1650968986046725,-1.6492820160182533e+18
40,36,99,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932985004300000,1650968986046725,-1.6492820160182533e+18
41,7,99,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932985004300000,1650969105045711,-1.6492820158992543e+18
42,7,59,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650932985004300000,1650969105045711,-1.6492820158992543e+18
