ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
106,0,4,4,0,2022-04-26-3:23:25,1650968605000025
107,0,1,1,0,2022-04-26-3:23:26,1650968606000026
108,0,1,1,0,2022-04-26-3:23:27,1650968607000027
109,0,1,2,0,2022-04-26-3:23:28,1650968608000028
110,0,1,1,0,2022-04-26-3:23:29,1650968609000029
111,0,2,2,0,2022-04-26-3:23:30,165096861000003
112,0,2,1,0,2022-04-26-3:23:31,1650968611000031
113,0,1,1,0,2022-04-26-3:23:32,1650968612000032
114,0,1,1,0,2022-04-26-3:23:33,1650968613000033
115,0,1,1,0,2022-04-26-3:23:34,1650968614000034
116,0,4,4,0,2022-04-26-3:23:35,1650968615000035
117,0,1,1,0,2022-04-26-3:23:36,1650968616000036
118,0,3,1,0,2022-04-26-3:23:37,1650968617000037
119,0,3,3,0,2022-04-26-3:23:38,1650968618000038
120,0,2,1,0,2022-04-26-3:23:39,1650968619000039
121,1,7,7,1,2022-04-26-3:23:40,165096862000004
122,0,4,1,0,2022-04-26-3:23:41,1650968621000041
123,0,1,1,0,2022-04-26-3:23:42,1650968622000042
124,0,2,2,0,2022-04-26-3:23:43,1650968623000043
125,1,8,7,1,2022-04-26-3:23:44,1650968624000044
126,1,5,5,2,2022-04-26-3:23:45,1650968625000045
127,1,9,6,1,2022-04-26-3:23:46,1650968626000046
128,1,5,4,2,2022-04-26-3:23:47,1650968627000047
129,0,1,1,0,2022-04-26-3:23:48,1650968628000048
130,0,2,1,0,2022-04-26-3:23:49,1650968629000049
131,0,1,1,0,2022-04-26-3:23:50,165096863000005
132,0,1,1,0,2022-04-26-3:23:51,1650968631000051
133,0,2,1,0,2022-04-26-3:23:52,1650968632000052
134,0,1,1,0,2022-04-26-3:23:53,1650968633000053
135,0,1,1,0,2022-04-26-3:23:54,1650968634000054
136,0,2,2,0,2022-04-26-3:23:55,1650968635000055
137,0,1,1,0,2022-04-26-3:23:56,1650968636000056
138,0,4,4,0,2022-04-26-3:23:57,1650968637000057
139,0,2,1,0,2022-04-26-3:23:58,1650968638000058
140,0,2,1,0,2022-04-26-3:23:59,1650968639000059
141,0,2,1,0,2022-04-26-3:24:0,16509686400
142,0,4,1,0,2022-04-26-3:24:1,1650968641000001
143,0,1,1,0,2022-04-26-3:24:2,1650968642000002
144,0,1,1,0,2022-04-26-3:24:3,1650968643000003
