ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
1,﻿0,1,0,0,2022-04-25-16:38:34,1650929914000034
2,0,1,1,0,2022-04-25-16:38:35,1650929915000035
3,1,4,5,1,2022-04-25-16:38:36,1650929916000036
4,1,10,6,1,2022-04-25-16:38:37,1650929917000037
5,1,4,5,2,2022-04-25-16:38:38,1650929918000038
6,1,8,7,1,2022-04-25-16:38:39,1650929919000039
7,1,3,5,2,2022-04-25-16:38:40,165092992000004
8,0,1,2,0,2022-04-25-16:38:41,1650929921000041
9,0,2,3,0,2022-04-25-16:38:42,1650929922000042
10,0,1,2,0,2022-04-25-16:38:43,1650929923000043
11,0,1,1,0,2022-04-25-16:38:44,1650929924000044
12,1,2,2,1,2022-04-25-16:38:45,1650929925000045
13,8,31,36,32,2022-04-25-16:38:46,1650929926000046
14,11,21,29,11,2022-04-25-16:38:47,1650929927000047
15,0,1,1,0,2022-04-25-16:38:48,1650929928000048
16,0,1,3,1,2022-04-25-16:38:49,1650929929000049
17,0,2,2,0,2022-04-25-16:38:50,165092993000005
18,0,1,2,0,2022-04-25-16:38:51,1650929931000051
19,0,1,1,0,2022-04-25-16:38:52,1650929932000052
20,1,4,2,0,2022-04-25-16:38:53,1650929933000053
21,0,1,1,0,2022-04-25-16:38:54,1650929934000054
22,0,1,1,0,2022-04-25-16:38:55,1650929935000055
23,0,1,1,0,2022-04-25-16:38:56,1650929936000056
24,0,7,7,1,2022-04-25-16:38:57,1650929937000057
25,0,2,1,0,2022-04-25-16:38:58,1650929938000058
26,0,1,1,0,2022-04-25-16:38:59,1650929939000059
27,0,1,1,0,2022-04-25-16:39:0,16509299400
28,0,3,2,0,2022-04-25-16:39:1,1650929941000001
29,0,1,2,0,2022-04-25-16:39:2,1650929942000002
30,0,1,2,0,2022-04-25-16:39:3,1650929943000003
31,0,1,2,0,2022-04-25-16:39:4,1650929944000004
32,0,2,2,1,2022-04-25-16:39:5,1650929945000005
33,1,3,1,0,2022-04-25-16:39:6,1650929946000006
34,0,7,7,1,2022-04-25-16:39:7,1650929947000007
35,0,1,1,0,2022-04-25-16:39:8,1650929948000008
36,0,3,1,0,2022-04-25-16:39:9,1650929949000009
37,0,1,1,0,2022-04-25-16:39:10,165092995000001
38,0,1,1,0,2022-04-25-16:39:11,1650929951000011
39,1,5,5,1,2022-04-25-16:39:12,1650929952000012
40,0,2,1,0,2022-04-25-16:39:13,1650929953000013
41,0,1,2,1,2022-04-25-16:39:14,1650929954000014
42,0,1,1,0,2022-04-25-16:39:15,1650929955000015
43,0,2,2,0,2022-04-25-16:39:16,1650929956000016
44,0,5,4,0,2022-04-25-16:39:17,1650929957000017
45,1,3,1,0,2022-04-25-16:39:18,1650929958000018
46,0,1,1,0,2022-04-25-16:39:19,1650929959000019
47,1,5,4,0,2022-04-25-16:39:20,165092996000002
48,0,1,2,0,2022-04-25-16:39:21,1650929961000021
49,0,4,5,0,2022-04-25-16:39:22,1650929962000022
50,0,1,2,1,2022-04-25-16:39:23,1650929963000023
51,0,1,1,0,2022-04-25-16:39:24,1650929964000024
52,0,3,3,0,2022-04-25-16:39:25,1650929965000025
53,0,2,1,0,2022-04-25-16:39:26,1650929966000026
54,0,4,4,0,2022-04-25-16:39:27,1650929967000027
55,1,3,1,0,2022-04-25-16:39:28,1650929968000028
56,0,1,1,0,2022-04-25-16:39:29,1650929969000029
57,0,1,1,0,2022-04-25-16:39:30,165092997000003
58,0,1,1,0,2022-04-25-16:39:31,1650929971000031
59,0,4,4,0,2022-04-25-16:39:32,1650929972000032
60,0,1,2,1,2022-04-25-16:39:33,1650929973000033
61,0,1,2,0,2022-04-25-16:39:34,1650929974000034
62,0,1,2,0,2022-04-25-16:39:35,1650929975000035
63,0,1,2,0,2022-04-25-16:39:36,1650929976000036
64,1,7,7,1,2022-04-25-16:39:37,1650929977000037
65,1,8,6,1,2022-04-25-16:39:38,1650929978000038
66,2,9,8,2,2022-04-25-16:39:39,1650929979000039
67,1,6,3,0,2022-04-25-16:39:40,165092998000004
68,1,5,6,2,2022-04-25-16:39:41,1650929981000041
69,0,3,4,0,2022-04-25-16:39:42,1650929982000042
70,0,1,2,0,2022-04-25-16:39:43,1650929983000043
71,0,1,1,0,2022-04-25-16:39:44,1650929984000044
72,0,1,1,0,2022-04-25-16:39:45,1650929985000045
73,0,2,2,0,2022-04-25-16:39:46,1650929986000046
74,0,3,3,0,2022-04-25-16:39:47,1650929987000047
75,0,1,1,0,2022-04-25-16:39:48,1650929988000048
76,0,3,1,0,2022-04-25-16:39:49,1650929989000049
77,0,1,1,0,2022-04-25-16:39:50,165092999000005
78,0,4,6,1,2022-04-25-16:39:51,1650929991000051
79,0,2,3,0,2022-04-25-16:39:52,1650929992000052
80,0,1,2,0,2022-04-25-16:39:53,1650929993000053
81,0,2,1,0,2022-04-25-16:39:54,1650929994000054
82,0,1,1,0,2022-04-25-16:39:55,1650929995000055
83,0,1,1,0,2022-04-25-16:39:56,1650929996000056
84,1,5,4,0,2022-04-25-16:39:57,1650929997000057
85,0,1,1,0,2022-04-25-16:39:58,1650929998000058
86,0,1,1,0,2022-04-25-16:39:59,1650929999000059
87,0,2,1,0,2022-04-25-16:40:0,16509300000
88,0,4,4,0,2022-04-25-16:40:1,1650930001000001
89,2,11,10,1,2022-04-25-16:40:2,1650930002000002
90,0,1,2,0,2022-04-25-16:40:3,1650930003000003
91,0,1,3,1,2022-04-25-16:40:4,1650930004000004
92,0,1,2,0,2022-04-25-16:40:5,1650930005000005
93,0,1,1,0,2022-04-25-16:40:6,1650930006000006
94,0,1,1,0,2022-04-25-16:40:7,1650930007000007
95,0,1,1,0,2022-04-25-16:40:8,1650930008000008
