ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
1,﻿1,4,6,1,2022-04-25-16:02:31,1650927751000031
2,0,1,2,0,2022-04-25-16:02:32,1650927752000032
3,0,2,4,1,2022-04-25-16:02:33,1650927753000033
4,0,1,1,0,2022-04-25-16:02:34,1650927754000034
5,1,8,9,1,2022-04-25-16:02:35,1650927755000035
6,1,8,7,1,2022-04-25-16:02:36,1650927756000036
7,1,5,7,2,2022-04-25-16:02:37,1650927757000037
8,0,1,1,0,2022-04-25-16:02:38,1650927758000038
9,0,2,4,0,2022-04-25-16:02:39,1650927759000039
10,0,1,2,0,2022-04-25-16:02:40,165092776000004
11,6,19,19,2,2022-04-25-16:02:41,1650927761000041
12,0,5,9,13,2022-04-25-16:02:42,1650927762000042
13,6,11,19,17,2022-04-25-16:02:43,1650927763000043
14,3,7,12,5,2022-04-25-16:02:44,1650927764000044
15,5,14,20,6,2022-04-25-16:02:45,1650927765000045
16,0,1,1,0,2022-04-25-16:02:46,1650927766000046
17,0,1,4,1,2022-04-25-16:02:47,1650927767000047
18,0,1,2,0,2022-04-25-16:02:48,1650927768000048
19,0,1,3,0,2022-04-25-16:02:49,1650927769000049
20,0,1,1,0,2022-04-25-16:02:50,165092777000005
21,0,1,3,0,2022-04-25-16:02:51,1650927771000051
22,1,3,2,0,2022-04-25-16:02:52,1650927772000052
23,0,1,3,0,2022-04-25-16:02:53,1650927773000053
24,0,1,1,0,2022-04-25-16:02:54,1650927774000054
25,0,7,10,1,2022-04-25-16:02:55,1650927775000055
26,0,1,2,0,2022-04-25-16:02:56,1650927776000056
27,0,1,4,1,2022-04-25-16:02:57,1650927777000057
28,0,1,1,0,2022-04-25-16:02:58,1650927778000058
29,0,1,3,0,2022-04-25-16:02:59,1650927779000059
30,0,2,2,0,2022-04-25-16:03:0,16509277800
31,0,2,3,0,2022-04-25-16:03:1,1650927781000001
32,0,1,1,0,2022-04-25-16:03:2,1650927782000002
33,0,1,3,0,2022-04-25-16:03:3,1650927783000003
34,0,1,2,0,2022-04-25-16:03:4,1650927784000004
35,0,7,9,1,2022-04-25-16:03:5,1650927785000005
36,1,8,6,1,2022-04-25-16:03:6,1650927786000006
37,2,12,12,2,2022-04-25-16:03:7,1650927787000007
38,1,5,6,2,2022-04-25-16:03:8,1650927788000008
39,0,3,4,0,2022-04-25-16:03:9,1650927789000009
40,2,6,5,1,2022-04-25-16:03:10,165092779000001
41,0,1,3,0,2022-04-25-16:03:11,1650927791000011
42,0,1,2,0,2022-04-25-16:03:12,1650927792000012
43,0,1,3,0,2022-04-25-16:03:13,1650927793000013
44,0,1,1,0,2022-04-25-16:03:14,1650927794000014
45,1,4,5,0,2022-04-25-16:03:15,1650927795000015
46,0,1,2,0,2022-04-25-16:03:16,1650927796000016
47,0,2,3,0,2022-04-25-16:03:17,1650927797000017
48,0,2,2,0,2022-04-25-16:03:18,1650927798000018
49,0,1,3,0,2022-04-25-16:03:19,1650927799000019
50,1,5,5,0,2022-04-25-16:03:20,165092780000002
51,0,1,3,0,2022-04-25-16:03:21,1650927801000021
52,0,1,2,0,2022-04-25-16:03:22,1650927802000022
53,0,1,3,0,2022-04-25-16:03:23,1650927803000023
54,0,2,2,0,2022-04-25-16:03:24,1650927804000024
55,0,3,5,0,2022-04-25-16:03:25,1650927805000025
56,0,1,2,1,2022-04-25-16:03:26,1650927806000026
57,0,1,3,0,2022-04-25-16:03:27,1650927807000027
58,0,2,3,0,2022-04-25-16:03:28,1650927808000028
59,0,2,4,0,2022-04-25-16:03:29,1650927809000029
60,0,4,5,0,2022-04-25-16:03:30,165092781000003
61,0,1,4,0,2022-04-25-16:03:31,1650927811000031
62,0,1,2,0,2022-04-25-16:03:32,1650927812000032
63,0,1,3,0,2022-04-25-16:03:33,1650927813000033
64,0,1,1,0,2022-04-25-16:03:34,1650927814000034
65,1,7,9,1,2022-04-25-16:03:35,1650927815000035
66,1,8,7,1,2022-04-25-16:03:36,1650927816000036
67,2,12,12,2,2022-04-25-16:03:37,1650927817000037
68,0,1,1,0,2022-04-25-16:03:38,1650927818000038
69,2,8,9,2,2022-04-25-16:03:39,1650927819000039
70,0,2,2,0,2022-04-25-16:03:40,165092782000004
71,0,1,3,0,2022-04-25-16:03:41,1650927821000041
72,0,1,2,1,2022-04-25-16:03:42,1650927822000042
73,0,1,3,0,2022-04-25-16:03:43,1650927823000043
74,0,1,2,0,2022-04-25-16:03:44,1650927824000044
75,0,3,5,0,2022-04-25-16:03:45,1650927825000045
76,0,1,1,0,2022-04-25-16:03:46,1650927826000046
77,0,2,4,0,2022-04-25-16:03:47,1650927827000047
78,0,1,2,0,2022-04-25-16:03:48,1650927828000048
79,0,5,6,1,2022-04-25-16:03:49,1650927829000049
80,0,3,3,0,2022-04-25-16:03:50,165092783000005
81,0,2,3,0,2022-04-25-16:03:51,1650927831000051
82,0,1,2,0,2022-04-25-16:03:52,1650927832000052
83,0,1,3,0,2022-04-25-16:03:53,1650927833000053
84,0,1,1,0,2022-04-25-16:03:54,1650927834000054
85,0,3,5,0,2022-04-25-16:03:55,1650927835000055
86,0,1,2,0,2022-04-25-16:03:56,1650927836000056
87,0,3,5,1,2022-04-25-16:03:57,1650927837000057
88,0,1,1,0,2022-04-25-16:03:58,1650927838000058
89,0,3,5,0,2022-04-25-16:03:59,1650927839000059
90,1,9,10,2,2022-04-25-16:04:0,16509278400
91,0,2,3,0,2022-04-25-16:04:1,1650927841000001
92,0,2,1,0,2022-04-25-16:04:2,1650927842000002
93,0,1,3,0,2022-04-25-16:04:3,1650927843000003
94,0,1,2,0,2022-04-25-16:04:4,1650927844000004
95,0,3,3,0,2022-04-25-16:04:5,1650927845000005
96,0,1,1,0,2022-04-25-16:04:6,1650927846000006
97,1,8,8,1,2022-04-25-16:04:7,1650927847000007
98,2,12,11,2,2022-04-25-16:04:8,1650927848000008
99,1,6,8,2,2022-04-25-16:04:9,1650927849000009
100,1,4,3,0,2022-04-25-16:04:10,165092785000001
101,0,1,3,0,2022-04-25-16:04:11,1650927851000011
102,0,1,2,0,2022-04-25-16:04:12,1650927852000012
103,0,1,4,1,2022-04-25-16:04:13,1650927853000013
104,0,1,1,0,2022-04-25-16:04:14,1650927854000014
105,0,2,3,0,2022-04-25-16:04:15,1650927855000015
106,0,2,1,0,2022-04-25-16:04:16,1650927856000016
107,0,1,2,0,2022-04-25-16:04:17,1650927857000017
108,0,1,1,0,2022-04-25-16:04:18,1650927858000018
109,0,4,4,0,2022-04-25-16:04:19,1650927859000019
110,0,1,1,0,2022-04-25-16:04:20,165092786000002
111,0,2,2,0,2022-04-25-16:04:21,1650927861000021
112,0,1,1,0,2022-04-25-16:04:22,1650927862000022
113,0,1,1,0,2022-04-25-16:04:23,1650927863000023
114,0,1,1,0,2022-04-25-16:04:24,1650927864000024
115,1,5,5,1,2022-04-25-16:04:25,1650927865000025
116,0,1,1,0,2022-04-25-16:04:26,1650927866000026
117,0,2,2,0,2022-04-25-16:04:27,1650927867000027
118,0,1,2,0,2022-04-25-16:04:28,1650927868000028
119,0,2,2,0,2022-04-25-16:04:29,1650927869000029
120,0,1,3,1,2022-04-25-16:04:30,165092787000003
121,0,1,2,0,2022-04-25-16:04:31,1650927871000031
122,0,1,1,0,2022-04-25-16:04:32,1650927872000032
123,0,1,1,0,2022-04-25-16:04:33,1650927873000033
124,0,1,2,0,2022-04-25-16:04:34,1650927874000034
125,1,5,5,0,2022-04-25-16:04:35,1650927875000035
126,0,1,2,0,2022-04-25-16:04:36,1650927876000036
127,1,9,6,1,2022-04-25-16:04:37,1650927877000037
128,2,12,10,2,2022-04-25-16:04:38,1650927878000038
129,0,2,2,0,2022-04-25-16:04:39,1650927879000039
130,1,5,5,2,2022-04-25-16:04:40,165092788000004
131,0,1,1,0,2022-04-25-16:04:41,1650927881000041
132,0,1,1,0,2022-04-25-16:04:42,1650927882000042
133,0,1,1,0,2022-04-25-16:04:43,1650927883000043
134,0,1,1,0,2022-04-25-16:04:44,1650927884000044
135,0,3,2,1,2022-04-25-16:04:45,1650927885000045
136,0,1,1,0,2022-04-25-16:04:46,1650927886000046
137,0,1,1,0,2022-04-25-16:04:47,1650927887000047
138,0,1,2,0,2022-04-25-16:04:48,1650927888000048
139,0,1,2,0,2022-04-25-16:04:49,1650927889000049
140,2,6,6,1,2022-04-25-16:04:50,165092789000005
141,0,1,1,0,2022-04-25-16:04:51,1650927891000051
142,0,1,1,0,2022-04-25-16:04:52,1650927892000052
143,0,2,1,0,2022-04-25-16:04:53,1650927893000053
144,0,1,1,0,2022-04-25-16:04:54,1650927894000054
145,0,1,1,0,2022-04-25-16:04:55,1650927895000055
146,0,1,1,0,2022-04-25-16:04:56,1650927896000056
147,0,1,1,0,2022-04-25-16:04:57,1650927897000057
148,0,2,1,0,2022-04-25-16:04:58,1650927898000058
149,0,1,1,0,2022-04-25-16:04:59,1650927899000059
150,0,4,4,0,2022-04-25-16:05:0,16509279000
151,0,1,1,0,2022-04-25-16:05:1,1650927901000001
152,0,1,2,0,2022-04-25-16:05:2,1650927902000002
153,0,1,2,0,2022-04-25-16:05:3,1650927903000003
154,0,1,3,0,2022-04-25-16:05:4,1650927904000004
155,0,1,1,0,2022-04-25-16:05:5,1650927905000005
156,0,2,2,1,2022-04-25-16:05:6,1650927906000006
157,0,1,1,0,2022-04-25-16:05:7,1650927907000007
158,1,8,6,1,2022-04-25-16:05:8,1650927908000008
159,2,14,11,2,2022-04-25-16:05:9,1650927909000009
160,0,1,2,1,2022-04-25-16:05:10,165092791000001
161,1,6,4,1,2022-04-25-16:05:11,1650927911000011
162,0,1,1,0,2022-04-25-16:05:12,1650927912000012
163,0,1,1,0,2022-04-25-16:05:13,1650927913000013
164,0,2,1,0,2022-04-25-16:05:14,1650927914000014
165,2,7,5,1,2022-04-25-16:05:15,1650927915000015
166,0,1,1,0,2022-04-25-16:05:16,1650927916000016
167,0,2,1,0,2022-04-25-16:05:17,1650927917000017
168,0,2,1,0,2022-04-25-16:05:18,1650927918000018
169,0,1,3,1,2022-04-25-16:05:19,1650927919000019
170,0,1,2,0,2022-04-25-16:05:20,165092792000002
171,0,1,2,0,2022-04-25-16:05:21,1650927921000021
172,0,1,1,0,2022-04-25-16:05:22,1650927922000022
173,0,1,1,0,2022-04-25-16:05:23,1650927923000023
174,0,1,1,0,2022-04-25-16:05:24,1650927924000024
175,0,5,4,0,2022-04-25-16:05:25,1650927925000025
176,0,2,1,0,2022-04-25-16:05:26,1650927926000026
177,0,2,1,0,2022-04-25-16:05:27,1650927927000027
178,0,1,1,0,2022-04-25-16:05:28,1650927928000028
179,0,2,1,0,2022-04-25-16:05:29,1650927929000029
180,0,1,1,0,2022-04-25-16:05:30,165092793000003
181,0,1,1,0,2022-04-25-16:05:31,1650927931000031
182,0,1,1,0,2022-04-25-16:05:32,1650927932000032
183,0,3,2,0,2022-04-25-16:05:33,1650927933000033
184,0,1,1,0,2022-04-25-16:05:34,1650927934000034
185,0,4,6,1,2022-04-25-16:05:35,1650927935000035
186,0,1,1,0,2022-04-25-16:05:36,1650927936000036
187,0,2,1,0,2022-04-25-16:05:37,1650927937000037
188,1,8,6,1,2022-04-25-16:05:38,1650927938000038
189,2,11,11,2,2022-04-25-16:05:39,1650927939000039
190,1,7,7,1,2022-04-25-16:05:40,165092794000004
191,2,7,6,2,2022-04-25-16:05:41,1650927941000041
192,0,1,1,0,2022-04-25-16:05:42,1650927942000042
193,0,1,1,0,2022-04-25-16:05:43,1650927943000043
194,0,1,1,0,2022-04-25-16:05:44,1650927944000044
195,0,1,1,0,2022-04-25-16:05:45,1650927945000045
196,0,1,2,1,2022-04-25-16:05:46,1650927946000046
197,0,1,1,0,2022-04-25-16:05:47,1650927947000047
198,1,3,1,0,2022-04-25-16:05:48,1650927948000048
