ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
22,35,90,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913414133091600,1650927816036862,-1.6492624863170547e+18
23,35,90,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913415190851800,1650927816036862,-1.649262487374815e+18
24,35,90,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913415190851800,1650927816036862,-1.649262487374815e+18
25,23,90,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913415190851800,1650927846006271,-1.6492624873448456e+18
26,23,37,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913415190851800,1650927846006271,-1.6492624873448456e+18
27,23,37,"1479626041,3856,4937,2082394,2871737,3496,2759,1285743,2458062,3459,2759,1235098,2459510,2757,3451,1476314,1919584,4067,5160,2124576,3132168,5127,4086,1991103,3579872,3471,2759,1298489,2440736,2750,3464,1454770,2043716,4925,3897,1897087,3489377,4989,6250,2743505,3692388,2756,3491,1464216,1996217,3500,2755,1272053,2442247",,1650913444672424700,1650927846006271,-1.6492625168264184e+18
28,23,37,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650913444672424700,1650927846006271,-1.6492625168264184e+18
29,10,37,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650913444672424700,1650927847007407,-1.6492625168254172e+18
30,10,24,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650913444672424700,1650927847007407,-1.6492625168254172e+18
31,10,24,"1479626042,4148,5164,2302054,2947672,3690,2995,1346051,2776922,3686,2995,1370419,2768234,2996,3689,1653936,2129797,3881,4967,2143294,2835046,4955,3859,1797154,3557681,3613,2907,1277680,2680044,2917,3623,1609549,1981318,5114,4063,1798387,3783427,5172,6548,2873772,3580065,2957,3579,1619376,2006284,3565,2927,1286837,2663940",,1650913445739425000,1650927847007407,-1.6492625178924175e+18
